Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
the ^ati++++=the
scientific ^jj++++=scientific,
, ^zz++++=EXTRAWORD
technological ^jj++++=technological,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
humanistic ^jj+atrb+++=humanistic
domains ^nns++++=domains
of ^in++++=of
Unach ^np+++??+=UNACH,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
evident ^jj+pred+++=evident
that ^tht+jcmp+++=that
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
domains ^nns++++=domains
pertains ^nns+++??+=pertains
to ^in++++=to
the ^ati++++=the
promotion ^nn++++=promotion
of ^in++++=of
socioeconomic ^nn+++??+=socioeconomic
and ^cc++++=and
educational ^jj+atrb+++=educational
development ^nn++++=development
aimed ^vbd+++xvbn+=aimed
at ^rb++++=at
strengthening ^nvbg+++xvbg+=strengthening
democratic ^jj+atrb+++=democratic
and ^cc+phrs+++=and
civic ^jj+atrb+++=civic
institutions ^nns++++=institutions,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
aligns ^nns+++??+=aligns
with ^in++++=with
the ^ati++++=the
objectives ^nns++++=objectives
of ^in++++=of
the ^ati++++=the
Master ^np++++=Master's
's ^$++++=EXTRAWORD
program ^nn+++??+=program
in ^in++++=in
Education ^nn++++=Education
with ^in++++=with
a ^at++++=a
focus ^nn++++=focus
on ^in++++=on
Ict ^np+++??+=ICT-mediated
- ^zz++++=EXTRAWORD
mediated ^nn+++??+=EXTRAWORD
Learning ^vwbg+vprv++xvbg+=Learning
Management ^nn++++=Management.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
alignment ^nn++++=alignment
is ^vbz+bez+aux++=is
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
the ^ati++++=the
premise ^nn++++=premise
that ^tht+rel+++=that
technology ^nn++++=technology-enhanced
- ^zz++++=EXTRAWORD
enhanced ^vbd+++xvbn+=EXTRAWORD
education ^nn++++=education
can ^md+pos+++=can
facilitate ^vb++++=facilitate
knowledge ^nn++++=knowledge
acquisition ^nn++++=acquisition
processes ^nns++++=processes
within ^in++++=within
the ^ati++++=the
population ^nn++++=population,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
contributing ^jj+++xvbg+=contributing
to ^in++++=to
the ^ati++++=the
advancement ^nn++++=advancement
of ^in++++=of
equity ^nn++++=equity
and ^cc++++=and
social ^jj+atrb+++=social
justice ^nn++++=justice.
. ^zz++++=EXTRAWORD
