However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
phytotherapeutic ^nn+++??+=phytotherapeutic
agents ^nns++++=agents
in ^in++++=in
dental ^jj+atrb+++=dental
practice ^nn++++=practice
remains ^vbz++++=remains
a ^at++++=a
relatively ^rb++++=relatively
recent ^jj+atrb+++=recent
development ^nn++++=development
( ^zz++++=(Groppo
groppo ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008;
; ^zz++++=EXTRAWORD
Pinheiro ^np+++??+=Pinheiro
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
limits ^nns++++=limits
the ^ati++++=the
availability ^nn++++=availability
of ^in++++=of
relevant ^jj+atrb+++=relevant
literature ^nn++++=literature
and ^cc++++=and
research ^nn++++=research
on ^in++++=on
this ^dt+dem+++=this
topic ^nn++++=topic.
. ^zz++++=EXTRAWORD
