As ^in++++=As
outlined ^nn++++=outlined
in ^in++++=in
the ^ati++++=the
Introduction ^nn++++=Introduction,
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
aimed ^vbd+++xvbn+=aimed
to ^to+vcmp+++=to
replicate ^vb+++??+=replicate
the ^ati++++=the
methodology ^nn++++=methodology
proposed ^vwbn+++xvbn+=proposed
by ^in++++=by
Alves ^np+++??+=Alves
and ^cc++++=and
Vasconcellos ^np+++??+=Vasconcellos
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
mapping ^nn++++=mapping
medical ^jj+atrb+++=medical
translation ^nn++++=translation
studies ^nns++++=studies
theses ^nns++++=theses
and ^cc++++=and
dissertations ^vbz+++??+=dissertations
written ^vbd+++xvbn+=written
in ^in++++=in
Portuguese ^nn++++=Portuguese
and ^cc++++=and
completed ^vwbn+++xvbn+=completed
at ^rb++++=at
higher ^jjr+atrb+++=higher
education ^nn++++=education
institutions ^nns++++=institutions
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
Alves ^np+++??+=Alves
and ^cc++++=and
Vasconcellos ^np+++??+=Vasconcellos
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
their ^pp$+pp3+++=their
approach ^nn++++=approach
on ^in++++=on
the ^ati++++=the
assumption ^nn++++=assumption
that ^tht+ncmp+++=that
such ^abl++++=such
theses ^nns++++=theses
and ^cc++++=and
dissertations ^nns+++??+=dissertations
were ^vbd+bed+aux++=were
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
made ^vpsv++agls+xvbnx+=made
digitally ^rb++++=digitally
available ^jj++++=available
at ^rb++++=at
www.dominiopublico.gov.br ^nn+++??+=www.dominiopublico.gov.br,
, ^zz++++=EXTRAWORD
in ^in++++=in
accordance ^nn++++=accordance
with ^in++++=with
Article ^nn++++=Article
1 ^zz++++=1
of ^in++++=of
Capes ^np+++??+=CAPES
administrative ^jj+atrb+++=administrative
regulation ^nn++++=regulation
13 ^cd++++=13/2006.
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
a ^at++++=a
review ^nn++++=review
of ^in++++=of
the ^ati++++=the
regulation ^nn++++=regulation
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
it ^pp3+it+++=it
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
mandate ^nn++++=mandate
a ^at++++=a
specific ^jj+atrb+++=specific
website ^nn+++??+=website,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
rather ^rb++++=rather
stipulates ^vbz+vsua+++=stipulates
that ^tht+vcmp+++=that
the ^ati++++=the
works ^nn++++=works
must ^md+nec+++=must
be ^vb+be+vrb++=be
available ^jj+pred+++=available
to ^in++++=to
the ^ati++++=the
public ^nn++++=public
through ^in++++=through
the ^ati++++=the
internet ^nn+++??+=internet.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
search ^vb++++=search
identified ^vbd+++xvbn+=identified
a ^at++++=a
thesis ^nn++++=thesis
completed ^vbd+++xvbn+=completed
in ^in++++=in
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
predates ^vbz+++??+=predates
the ^ati++++=the
initial ^jj+atrb+++=initial
period ^nn++++=period
considered ^vwbn+vprv++xvbn+=considered
by ^in++++=by
Alves ^np+++??+=Alves
and ^cc++++=and
Vasconcellos ^np+++??+=Vasconcellos
( ^zz++++=(2016).
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
the ^ati++++=the
increased ^jj+atrb++xvbn+=increased
robustness ^nn++++=robustness
of ^in++++=of
current ^jj+atrb+++=current
search ^nn++++=search
engines ^nns++++=engines,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
established ^vbd+vprv++xvbn+=established
2002 ^cd++++=2002
as ^in++++=as
the ^ati++++=the
starting ^nn++++=starting
point ^nn++++=point
for ^in++++=for
our ^pp$+pp1+++=our
search ^nn++++=search
period ^nn++++=period.
. ^zz++++=EXTRAWORD
