Diagnosis ^nn++++=Diagnosis:
: ^zz++++=EXTRAWORD
Pleroma ^np+++??+=Pleroma
eglanduliferum ^nn+++??+=eglanduliferum
can ^md+pos+++=can
be ^vb+be+aux++=be
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
its ^pp$+it+++=its
larger ^jjr+atrb+++=larger
bracteoles ^nns+++??+=bracteoles,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
measure ^nn++++=measure
7 ^zz++++=7
11 ^cd++++=11
3 ^zz++++=3
7 ^zz++++=7
mm ^nnu++++=mm
and ^cc++++=and
exceed ^vb++++=exceed
the ^ati++++=the
size ^nn++++=size
of ^in++++=of
the ^ati++++=the
hypanthia ^nn+++??+=hypanthia
( ^zz++++=(4
4 ^zz++++=EXTRAWORD
5 ^zz++++=5
approximately ^rb+down+++=approximately
3 ^zz++++=3
mm ^nnu++++=mm).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
hypanthia ^nn+++??+=hypanthia
are ^vb+ber+aux++=are
covered ^vpsv++agls+xvbnx+=covered
with ^in++++=with
strigose ^nn+++??+=strigose,
, ^zz++++=EXTRAWORD
eglandular ^nn+++??+=eglandular
trichomes ^nns+++??+=trichomes.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
species ^nns++++=species
exhibits ^nns++++=exhibits
dimorphic ^nn+++??+=dimorphic
stamens ^nns+++??+=stamens
with ^in++++=with
glabrous ^nns++++=glabrous
connectives ^nns++++=connectives
throughout ^in+strn+++=throughout,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
appendages ^nns++++=appendages.
. ^zz++++=EXTRAWORD
