Objective ^jj++++=Objective:
: ^zz++++=EXTRAWORD
To ^to++++=To
compare ^vbi++++=compare
the ^ati++++=the
proportion ^nn++++=proportion
of ^in++++=of
deaths ^nns++++=deaths
among ^in++++=among
hospitalized ^nn+++??+=hospitalized
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
cases ^nns++++=cases
in ^in++++=in
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
and ^cc++++=and
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
stratified ^jj++++=stratified
by ^in++++=by
private ^jj+atrb+++=private
and ^cc+phrs+++=and
public ^jj+atrb+++=public
healthcare ^nn+++??+=healthcare
services ^nns++++=services.
. ^zz++++=EXTRAWORD
Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
Hospitalization ^np+++??+=Hospitalization
data ^nns++++=data
for ^in++++=for
Severe ^jj+atrb+++=Severe
Acute ^jj+atrb+++=Acute
Respiratory ^jj+atrb+++=Respiratory
Syndrome ^np+++??+=Syndrome
( ^zz++++=(SARS)
sars ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
from ^in++++=from
the ^ati++++=the
Sivep ^np+++??+=SIVEP-Gripe
- ^zz++++=EXTRAWORD
gripe ^nn+++??+=EXTRAWORD
Database ^np+++??+=Database.
. ^zz++++=EXTRAWORD
The ^ati++++=The
analysis ^nn++++=analysis
included ^vbd+++xvbn+=included
all ^abn++++=all
hospitalized ^nn+++??+=hospitalized
adults ^nns++++=adults
diagnosed ^vwbn+++xvbn+=diagnosed
with ^in++++=with
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
or ^cc++++=or
unspecified ^jj+atrb+++=unspecified
Sars ^np+++??+=SARS
between ^in++++=between
January ^nr++++=January
and ^cc++++=and
December ^nr++++=December
2020 ^cd++++=2020.
. ^zz++++=EXTRAWORD
Logistic ^np+++??+=Logistic
regression ^nn++++=regression
models ^nns++++=models
were ^vbd+bed+aux++=were
used ^vpsv++++=used
to ^to++++=to
assess ^vb++++=assess
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
death ^nn++++=death
between ^in++++=between
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
and ^cc++++=and
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
adjusting ^jj+++xvbg+=adjusting
for ^in++++=for
age ^nn++++=age,
, ^zz++++=EXTRAWORD
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
comorbidities ^nns+++??+=comorbidities.
. ^zz++++=EXTRAWORD
Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
A ^at++++=A
total ^nn++++=total
of ^in++++=of
388,657 ^cd++++=388,657
hospital ^npl++++=hospital
records ^vbz+vpub+++=records
from ^in++++=from
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
( ^zz++++=(91,532)
91,532 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
( ^zz++++=(297,125)
297,125 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
analyzed ^nn+++??+=analyzed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
frequency ^nn++++=frequency
of ^in++++=of
missing ^xvbg+++xvbg+=missing
data ^nns++++=data
was ^vbd+bedz+vrb++=was
high ^jj+pred+++=high,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
at ^in++++=at
both ^abx++++=both
the ^ati++++=the
state ^nn++++=state
and ^cc++++=and
capital ^nn++++=capital
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
After ^in++++=After
adjusting ^nn++++=adjusting
for ^in++++=for
confounders ^nns+++??+=confounders,
, ^zz++++=EXTRAWORD
the ^ati++++=the
odds ^nns++++=odds
ratio ^nn++++=ratio
for ^in++++=for
death ^nn++++=death
from ^in++++=from
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
compared ^vbd+++xvbn+=compared
to ^in++++=to
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
was ^vbd+bedz+vrb++=was
2.51 ^cd++++=2.51
in ^in++++=in
private ^jj+atrb+++=private
hospitals ^nns++++=hospitals
and ^cc++++=and
2.29 ^cd++++=2.29
in ^in++++=in
public ^jj+atrb+++=public
hospitals ^nns++++=hospitals.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
capitals ^nns++++=capitals,
, ^zz++++=EXTRAWORD
the ^ati++++=the
disparity ^nn+++??+=disparity
was ^vbd+bedz+vrb++=was
greater ^jjr+pred+++=greater,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
lethality ^nn+++??+=lethality
among ^in++++=among
hospitalized ^nn+++??+=hospitalized
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
patients ^nns++++=patients
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
at ^in++++=at
least ^rbt++++=least
twice ^rb++++=twice
as ^ql++++=as
high ^np++++=high
