Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
that ^tht+jcmp+obj++=that
teachers ^nns++++=teachers
are ^vb+ber+aux++=are
equipped ^vpsv++agls+xvbnx+=equipped
to ^to++++=to
educate ^vbi++++=educate
future ^jjb+atrb+++=future
generations ^nns++++=generations,
, ^zz++++=EXTRAWORD
necessitating ^jj+++xvbg+=necessitating
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
training ^nn++++=training
programs ^vbz+++??+=programs
aimed ^vwbn+++xvbn+=aimed
at ^rb++++=at
developing ^vbg+++xvbg+=developing
digital ^jj+atrb+++=digital
competencies ^nns+++??+=competencies.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
competencies ^nns+++??+=competencies
enable ^vb++++=enable
teachers ^vb++++=teachers
to ^to+vcmp+++=to
facilitate ^vbi++++=facilitate
and ^cc+phrs+++=and
manage ^vb++++=manage
learning ^nvbg+++xvbg+=learning
processes ^nns++++=processes,
, ^zz++++=EXTRAWORD
conduct ^vb++++=conduct
effective ^jj+atrb+++=effective
assessments ^nns++++=assessments
with ^in++++=with
the ^ati++++=the
support ^nn++++=support
of ^in++++=of
information ^nn++++=information
and ^cc++++=and
communication ^nn++++=communication
technologies ^nns+++??+=technologies
( ^zz++++=(ICT),
ict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
integrate ^vb++++=integrate
innovative ^nn+++??+=innovative
didactic ^nn+++??+=didactic
strategies ^nns+++??+=strategies
in ^in++++=in
the ^ati++++=the
classroom ^nn++++=classroom,
, ^zz++++=EXTRAWORD
promote ^vb++++=promote
educational ^jj+atrb+++=educational
research ^nn++++=research,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
engage ^vb++++=engage
in ^in++++=in
ongoing ^nn+++??+=ongoing
reflection ^nn++++=reflection
and ^cc++++=and
professional ^jj+atrb+++=professional
development ^nn++++=development
to ^to++++=to
ensure ^vbi+vprv+++=ensure
the ^ati++++=the
effective ^jj+atrb+++=effective
integration ^nn++++=integration
of ^in++++=of
these ^dt+dem+++=these
skills ^nns++++=skills
into ^in++++=into
teaching ^xvbg+++xvbg+=teaching
practice ^nn++++=practice
( ^zz++++=(Guti
guti ^nn+++??+=EXTRAWORD
rrez ^nn+++??+=rrez,
, ^zz++++=EXTRAWORD
prendes ^np++++=Prendes,
, ^zz++++=EXTRAWORD
& ^zz++++=&
casta ^np++++=Casta
eda ^nn++++=eda,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
