Regarding ^in++++=Regarding
the ^ati++++=the
categories ^nns++++=categories
for ^in++++=for
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
Painter ^nn++++=Painter
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
identify ^vb++++=identify
layout ^nn++++=layout,
, ^zz++++=EXTRAWORD
framing ^vbg+++xvbg+=framing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
focus ^nn++++=focus
as ^ql++++=as
key ^jjb+atrb+++=key
elements ^nns++++=elements
for ^in++++=for
examining ^xvbg+++xvbg+=examining
the ^ati++++=the
compositional ^nn+++??+=compositional
meaning ^vwbg+++xvbg+=meaning
of ^in++++=of
picturebooks ^nns+++??+=picturebooks.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
analytical ^jj+atrb+++=analytical
framework ^nn++++=framework
is ^vbz+bez+aux++=is
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
the ^ati++++=the
work ^nn++++=work
of ^in++++=of
Kress ^np+++??+=Kress
and ^cc++++=and
van ^&fw++++=van
Leeuwen ^np+++??+=Leeuwen
( ^zz++++=(2006),
2006 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
investigate ^vb++++=investigate
information ^nn++++=information
value ^nn++++=value,
, ^zz++++=EXTRAWORD
salience ^nn++++=salience,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
framing ^vbg+++xvbg+=framing
to ^in++++=to
deconstruct ^nn+++??+=deconstruct
textual ^jj+atrb+++=textual
meanings ^nns++++=meanings.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
analysis ^nn++++=analysis
will ^md+prd+++=will
primarily ^rb+down+++=primarily
focus ^nn++++=focus
on ^in++++=on
these ^dt+dem+++=these
elements ^nns++++=elements
to ^to++++=to
provide ^vbi+vsua+++=provide
insight ^nn++++=insight
into ^in++++=into
the ^ati++++=the
narrative ^nn++++=narrative
structures ^nns++++=structures
of ^in++++=of
both ^abx++++=both
picturebooks ^nns++++=picturebooks.
. ^zz++++=EXTRAWORD
