Bauer ^np+++??+=Bauer
and ^cc++++=and
Becker ^np+++??+=Becker
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
examine ^vb++++=examine
how ^wrb+who+++=how
populist ^jj+atrb++??+=populist
governments ^nns++++=governments
have ^vb+hv+vrb++=have
interacted ^nn+++??+=interacted
with ^in++++=with
public ^jj+atrb+++=public
administration ^nn++++=administration
by ^in++++=by
analyzing ^nn+++??+=analyzing
cases ^nns++++=cases
from ^in++++=from
Hungary ^np++++=Hungary,
, ^zz++++=EXTRAWORD
Peru ^np++++=Peru,
, ^zz++++=EXTRAWORD
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Switzerland ^np++++=Switzerland.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
identify ^vb++++=identify
four ^cd++++=four
primary ^jj+atrb+++=primary
approaches ^nns++++=approaches
to ^in++++=to
public ^jj+atrb+++=public
bureaucracy ^nn++++=bureaucracy:
: ^zz++++=EXTRAWORD
capture ^nn++++=capture,
, ^zz++++=EXTRAWORD
dismantling ^nn++++=dismantling,
, ^zz++++=EXTRAWORD
sabotage ^nn++++=sabotage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reform ^nn++++=reform.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
analysis ^nn++++=analysis
employs ^vbz++++=employs
a ^at++++=a
matrix ^nn++++=matrix
that ^tht+rel+++=that
cross ^jj++++=cross-tabulates
- ^zz++++=EXTRAWORD
tabulates ^nns+++??+=EXTRAWORD
the ^ati++++=the
populist ^nn+++??+=populist
s ^zz++++=s
perception ^nn++++=perception
of ^in++++=of
the ^ati++++=the
state ^nn++++=state
( ^zz++++=(positive
positive ^jj++++=EXTRAWORD
or ^cc+phrs+++=or
negative ^jj++++=negative)
) ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
robustness ^nn++++=robustness
of ^in++++=of
the ^ati++++=the
country ^nn++++=country
s ^zz++++=s
administrative ^jj+atrb+++=administrative
order ^nn++++=order
( ^zz++++=(fragile
fragile ^jj++++=EXTRAWORD
or ^cc+phrs+++=or
robust ^jj++++=robust).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
their ^pp$+pp3+++=their
findings ^nns++++=findings,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
populist ^nn+++??+=populist
leader ^nn++++=leader
holds ^vbz+vprv+++=holds
a ^at++++=a
negative ^jj+atrb+++=negative
view ^nn++++=view
of ^in++++=of
the ^ati++++=the
state ^nn++++=state
and ^cc++++=and
the ^ati++++=the
administrative ^jj+atrb+++=administrative
order ^nn++++=order
is ^vbz+bez+vrb++=is
fragile ^jj+pred+++=fragile,
, ^zz++++=EXTRAWORD
the ^ati++++=the
likely ^jj+atrb+++=likely
outcome ^nn++++=outcome
is ^vbz+bez+vrb++=is
the ^ati++++=the
dismantling ^nn++++=dismantling
of ^in++++=of
public ^jj+atrb+++=public
administration ^nn++++=administration,
, ^zz++++=EXTRAWORD
as ^in++++=as
observed ^nn++++=observed
in ^in++++=in
Peru ^np++++=Peru
under ^in++++=under
Fujimori ^np+++??+=Fujimori.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
article ^nn++++=article
will ^md+prd+++=will
present ^vb++++=present
evidence ^nn++++=evidence
suggesting ^nn+vpub++xvbg+=suggesting
that ^tht+ncmp+++=that
a ^at++++=a
similar ^jj+atrb+++=similar
pattern ^nn++++=pattern
occurred ^vbd+++xvbn+=occurred
in ^in++++=in
Brazil ^np++++=Brazil
under ^in++++=under
Bolsonaro ^np+++??+=Bolsonaro,
, ^zz++++=EXTRAWORD
consistent ^jj++++=consistent
with ^in++++=with
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
Sabourin ^np+++??+=Sabourin
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
regarding ^in++++=regarding
family ^nn++++=family
farming ^nn++++=farming
policies ^nns++++=policies.
. ^zz++++=EXTRAWORD
