Previously ^rb+cnj+++=Previously,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
involved ^vpsv++agls+xvbnx+=involved
in ^in++++=in
the ^ati++++=the
conception ^nn++++=conception
and ^cc++++=and
design ^nn++++=design
of ^in++++=of
public ^jj+atrb+++=public
policies ^nns++++=policies.
. ^zz++++=EXTRAWORD
Currently ^rb+cnj+++=Currently,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
perceive ^vb+vprv+++=perceive
opportunities ^nns++++=opportunities
for ^in++++=for
such ^abl++++=such
work ^nn++++=work,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
no ^at++++=no
longer ^rbr++++=longer
feasible ^jj++++=feasible.
. ^zz++++=EXTRAWORD
Individuals ^nns++++=Individuals
with ^in++++=with
my ^pp$+pp1+++=my
profile ^nn++++=profile
are ^vb+ber+aux++=are
excluded ^vpsv++agls+xvbnx+=excluded
from ^in++++=from
participation ^nn++++=participation
in ^in++++=in
Ministry ^nn++++=Ministry
F ^zz++++=F.
. ^zz++++=EXTRAWORD
The ^ati++++=The
approach ^nn++++=approach
has ^vbz+hvz+aux++=has
shifted ^vprf+++xvbnx+=shifted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
current ^jj+atrb+++=current
role ^nn++++=role
involves ^vbz++++=involves
activities ^nns++++=activities
in ^in++++=in
area ^nn++++=area
G ^zz++++=G,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
more ^rbr++++=more
indirect ^jj+pred+++=indirect
and ^cc++++=and
do ^vb+do+aux++=do
not ^xnot++not++=not
produce ^vb++++=produce
immediate ^jj+atrb+++=immediate
outcomes ^nns+++??+=outcomes.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
work ^nn++++=work
consists ^vbz++++=consists
of ^in++++=of
documenting ^nn+++??+=documenting
and ^cc++++=and
recording ^nvbg+++xvbg+=recording
the ^ati++++=the
ongoing ^nn+++??+=ongoing
changes ^nns++++=changes
and ^cc++++=and
reversals ^nns+++??+=reversals,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
contributing ^jj++++=contributing
to ^in++++=to
the ^ati++++=the
institutional ^jj+atrb+++=institutional
memory ^nn++++=memory
( ^zz++++=(interviewee
interviewee ^nn++++=EXTRAWORD
16 ^cd++++=16).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
