There ^ex+pex+++=There
is ^vbz+bez+aux++=is
increasing ^vbg+++xvbgx+=increasing
interest ^nn++++=interest
in ^in++++=in
phytotherapy ^nn+++??+=phytotherapy
among ^in++++=among
both ^abx++++=both
healthcare ^jj+atrb++??+=healthcare
professionals ^nns++++=professionals
and ^cc++++=and
patients ^nns++++=patients.
. ^zz++++=EXTRAWORD
Medicinal ^np+++??+=Medicinal
plants ^nns++++=plants
are ^vb+ber+aux++=are
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
rich ^np++++=rich
sources ^nns++++=sources
of ^in++++=of
bioactive ^nn+++??+=bioactive
compounds ^nns++++=compounds
with ^in++++=with
potential ^jj+atrb+++=potential
therapeutic ^jj+atrb+++=therapeutic
effects ^nns++++=effects
for ^in++++=for
the ^ati++++=the
treatment ^nn++++=treatment
of ^in++++=of
anxiety ^nn++++=anxiety
( ^zz++++=(Liu
liu ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Fajemiroye ^np+++??+=Fajemiroye
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
comprehensive ^jj+atrb+++=comprehensive
information ^nn++++=information
available ^jj++++=available
to ^in++++=to
healthcare ^jj+atrb++??+=healthcare
professionals ^nns++++=professionals
regarding ^in++++=regarding
the ^ati++++=the
appropriate ^jj+atrb+++=appropriate
use ^nn++++=use
of ^in++++=of
phytotherapy ^nn+++??+=phytotherapy,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
contributes ^vbz++++=contributes
to ^in++++=to
uncertainty ^nn++++=uncertainty
about ^in++++=about
its ^pp$+it+++=its
efficacy ^nn++++=efficacy.
. ^zz++++=EXTRAWORD
To ^in++++=To
address ^nn++++=address
this ^dt+dem+++=this
gap ^nn++++=gap,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
provide ^vbi+vsua+++=provide
evidence ^nn++++=evidence-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
information ^nn++++=information
through ^in++++=through
scientific ^jj+atrb+++=scientific
dissemination ^nn+++??+=dissemination,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
promoting ^vbg+++xvbg+=promoting
the ^ati++++=the
safe ^jj+atrb+++=safe
and ^cc+phrs+++=and
effective ^jj+atrb+++=effective
use ^nn++++=use
of ^in++++=of
phytotherapy ^nn+++??+=phytotherapy
and ^cc++++=and
supporting ^vbg+++xvbg+=supporting
its ^pp$+it+++=its
integration ^nn++++=integration
into ^in++++=into
clinical ^jj+atrb+++=clinical
practice ^nn++++=practice
( ^zz++++=(Sarris
sarris ^nns++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
