There ^ex+pex+++=There
are ^vb+ber+vrb++=are
eleven ^cd++++=eleven
additional ^jj+atrb+++=additional
correlations ^nns++++=correlations
classified ^vwbn+++xvbn+=classified
as ^ql++++=as
moderate ^jj++++=moderate,
, ^zz++++=EXTRAWORD
as ^in++++=as
presented ^nn++++=presented
in ^in++++=in
Table ^nn++++=Table
5 ^zz++++=5.
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mean ^jj+atrb+++=mean
magnitude ^nn++++=magnitude
of ^in++++=of
all ^abn++++=all
indicators ^nns++++=indicators
within ^in++++=within
this ^dt+dem+++=this
dimension ^nn++++=dimension
is ^vbz+bez+vrb++=is
0.3515 ^nn+++??+=0.3515,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
standard ^jj+atrb+++=standard
deviation ^nn++++=deviation
of ^in++++=of
0.1763 ^nn+++??+=0.1763.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
represents ^vbz++++=represents
the ^ati++++=the
highest ^jjt++++=highest
average ^jj++++=average
among ^in++++=among
all ^abn++++=all
dimensions ^nns++++=dimensions;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
sufficiently ^rb++++=sufficiently
high ^jj++++=high
to ^to++++=to
suggest ^vbi+vpub+++=suggest
redundancy ^nn++++=redundancy
among ^in++++=among
the ^ati++++=the
indicators ^nns++++=indicators.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
results ^nns++++=results
support ^vb++++=support
the ^ati++++=the
validity ^nn++++=validity
of ^in++++=of
this ^dt+dem+++=this
dimension ^nn++++=dimension
for ^in++++=for
the ^ati++++=the
group ^nn++++=group
of ^in++++=of
institutions ^nns++++=institutions
examined ^vwbn+++xvbn+=examined
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study.
. ^zz++++=EXTRAWORD
