Visual ^jj+atrb+++=Visual
elements ^nns++++=elements
play ^vb++++=play
a ^at++++=a
crucial ^jj+atrb+++=crucial
role ^nn++++=role
in ^in++++=in
these ^dt+dem+++=these
types ^nns++++=types
of ^in++++=of
texts ^nns++++=texts,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
communication ^nn++++=communication
of ^in++++=of
values ^nns++++=values,
, ^zz++++=EXTRAWORD
ideas ^nns++++=ideas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
examples ^nns++++=examples
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
significant ^jj+pred+++=significant
in ^in++++=in
the ^ati++++=the
narrative ^nn++++=narrative
process ^nn++++=process.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
to ^to+jcmp+++=to
analyze ^vb+++??+=analyze
visual ^jj+atrb+++=visual
components ^nns++++=components
in ^in++++=in
conjunction ^nn++++=conjunction
with ^in++++=with
the ^ati++++=the
written ^jj+atrb++xvbn+=written
text ^nn++++=text
to ^to++++=to
understand ^vbi+vprv+++=understand
how ^wrb+who+whcl++=how
both ^abx++++=both
modes ^nns++++=modes
of ^in++++=of
communication ^nn++++=communication
complement ^nn++++=complement
each ^dt++++=each
other ^ap++++=other
and ^cc++++=and
interact ^nn+++??+=interact
to ^to++++=to
construct ^vbi++++=construct
meaning ^nvbg+++xvbg+=meaning
within ^in++++=within
the ^ati++++=the
picturebook ^nn+++??+=picturebook
( ^zz++++=(K
k ^zz++++=EXTRAWORD
mmerling ^nn+++??+=mmerling-Meibauer,
- ^zz++++=EXTRAWORD
meibauer ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
research ^nn++++=research
has ^vbz+hvz+aux++=has
examined ^vprf+++xvbnx+=examined
how ^wrb+who+++=how
children ^nns++++=children
develop ^vb++++=develop
multiliteracies ^nns+++??+=multiliteracies
from ^in++++=from
an ^at++++=an
early ^jj+atrb+++=early
age ^nn++++=age
( ^zz++++=(Lewis,
lewis ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001;
; ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
London ^np++++=London
Group ^nn++++=Group,
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Moya ^np+++??+=Moya
Guijarro ^np+++??+=Guijarro
& ^zz++++=&
Ruiz ^np+++??+=Ruiz,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Pinar ^np+++??+=Pinar
& ^zz++++=&
Moya ^np+++??+=Moya
Guijarro ^np+++??+=Guijarro,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Unsworth ^np+++??+=Unsworth,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
several ^ap++++=several
studies ^nns++++=studies
highlight ^nn++++=highlight
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
visual ^jj+atrb+++=visual
elements ^nns++++=elements
in ^in++++=in
storytelling ^nn+++??+=storytelling
and ^cc++++=and
in ^in++++=in
conveying ^xvbg+++xvbg+=conveying
underlying ^jj+atrb++xvbg+=underlying
ideologies ^nns++++=ideologies
( ^zz++++=(Hamer
hamer ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
K ^zz++++=K
Mmerling ^nn++++=mmerling-Meibauer
 ^zz++++=EXTRAWORD
Meibauer ^nn++++=EXTRAWORD
Et ^&fw++++=et
Al ^&fw++++=al.,
 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
015 ^cd++++=2015).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
