Comorbidities ^np+++??+=Comorbidities
increase ^nn++++=increase
the ^ati++++=the
probability ^nn++++=probability
of ^in++++=of
progression ^nn++++=progression
from ^in++++=from
infection ^nn++++=infection
to ^in++++=to
intensive ^jj+atrb+++=intensive
care ^nn++++=care
unit ^nn++++=unit
( ^zz++++=(ICU)
icu ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
admission ^nn++++=admission,
, ^zz++++=EXTRAWORD
as ^in++++=as
indicated ^nn++++=indicated
by ^in++++=by
the ^ati++++=the
percentage ^nn++++=percentage
values ^nns++++=values
presented ^vbd+++xvbn+=presented
in ^in++++=in
table ^nn++++=Table
2 ^zz++++=2
[ ^zz++++=[33].
33 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
