During ^in++++=During
my ^pp$+pp1+++=my
tenure ^nn++++=tenure,
, ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
my ^pp$+pp1+++=my
colleagues ^nns++++=colleagues
have ^vb+hv+aux++=have
left ^vprf+++xvbnx+=left
the ^ati++++=the
agency ^nn++++=agency.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
my ^pp$+pp1+++=my
former ^ap++++=former
team ^nn++++=team,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
one ^cd1++++=one
individual ^jj+atrb+++=individual
remains ^nns++++=remains,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
transferred ^vprf+++xvbnx+=transferred
to ^in++++=to
work ^nn++++=work
with ^in++++=with
policy ^nn++++=policy
A ^at++++=A,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
the ^ati++++=the
B ^zz++++=B
program ^nn+++??+=program.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
reports ^nns++++=reports
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
now ^rn+tm+++=now
in ^in++++=in
a ^at++++=a
more ^rbr++++=more
tranquil ^jj+atrb+++=tranquil
environment ^nn++++=environment
and ^cc++++=and
maintains ^vbz+vpub+++=maintains
a ^at++++=a
certain ^jj+atrb+++=certain
distance ^nn++++=distance
from ^in++++=from
former ^ap++++=former
colleagues ^nns++++=colleagues.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
colleague ^nn++++=colleague
has ^vbz+hvz+aux++=has
moved ^vprf+++xvbnx+=moved
to ^in++++=to
Institute ^nn++++=Institute
C ^zz++++=C,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
another ^ppls++++=another
has ^vbz+hvz+aux++=has
joined ^vprf+++xvbnx+=joined
Institute ^npl++++=Institute
D ^zz++++=D.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
former ^ap++++=former
team ^nn++++=team
members ^nns++++=members
are ^vb+ber+aux++=are
now ^rn+tm+splt++=now
dispersed ^vpsv++agls+xvbnx+=dispersed
across ^in+pl+++=across
various ^jj+atrb+++=various
agencies ^nns++++=agencies.
. ^zz++++=EXTRAWORD
Currently ^rb+cnj+++=Currently,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
all ^rb++++=all
maintain ^vb+vpub+++=maintain
a ^at++++=a
low ^jj+atrb+++=low
profile ^nn++++=profile
and ^cc++++=and
are ^vb+ber+aux++=are
focused ^vpsv++agls+xvbnx+=focused
on ^in++++=on
their ^pp$+pp3+++=their
remaining ^jj+atrb++xvbg+=remaining
time ^nn++++=time
until ^in++++=until
retirement ^nn++++=retirement,
, ^zz++++=EXTRAWORD
refraining ^vbg+++xvbg+=refraining
from ^in++++=from
making ^xvbg+++xvbg+=making
any ^dti++++=any
public ^jj+atrb+++=public
statements ^nns++++=statements
or ^cc++++=or
expressing ^jj+atrb+++=expressing
opinions ^nns++++=opinions
( ^zz++++=(interview
interview ^nn++++=EXTRAWORD
30 ^cd++++=30).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
