On ^in++++=On
his ^pp$+pp3+++=his
third ^od++++=third
day ^nn++++=day
in ^in++++=in
office ^nn++++=office,
, ^zz++++=EXTRAWORD
3,500 ^cd++++=3,500
individuals ^nns++++=individuals
were ^vbd+bed+aux++=were
dismissed ^vpsv++agls+xvbnx+=dismissed
from ^in++++=from
their ^pp$+pp3+++=their
federal ^jj+atrb+++=federal
appointments ^nns++++=appointments
( ^zz++++=(Batista,
batista ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
civil ^jj+atrb+++=civil
servants ^nns++++=servants,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
resulted ^jj+++xvbn+=resulted
in ^in++++=in
their ^pp$+pp3+++=their
departure ^nn++++=departure
from ^in++++=from
government ^nn++++=government
service ^nn++++=service.
. ^zz++++=EXTRAWORD
For ^in++++=For
civil ^jj+atrb+++=civil
servants ^nns++++=servants,
, ^zz++++=EXTRAWORD
the ^ati++++=the
termination ^nn++++=termination
of ^in++++=of
their ^pp$+pp3+++=their
appointments ^nns++++=appointments
entailed ^vbd+++xvbn+=entailed
removal ^nn++++=removal
from ^in++++=from
senior ^jj+atrb+++=senior
positions ^nns++++=positions,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
they ^pp3a+pp3+++=they
retained ^vbd+++xvbnx+=retained
their ^pp$+pp3+++=their
status ^nn++++=status
as ^ql++++=as
public ^jj+atrb+++=public
employees ^nns++++=employees.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
by ^in++++=by
the ^ati++++=the
time ^nn++++=time
Bolsonaro ^np+++??+=Bolsonaro
assumed ^vwbn+++xvbn+=assumed
office ^nn++++=office
in ^in++++=in
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
two ^cd++++=two
and ^cc++++=and
a ^at++++=a
half ^nn++++=half
years ^nns++++=years
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
since ^in++++=since
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
Pt ^nnu++++=PT
administration ^nn++++=administration,
, ^zz++++=EXTRAWORD
during ^in++++=during
which ^whp+rel+pied++=which
substantial ^jj+atrb+++=substantial
bureaucratic ^jj+atrb+++=bureaucratic
restructuring ^nn+++??+=restructuring
had ^vb+hv+aux++=had
already ^rb++splt++=already
taken ^vpsv++agls+xvbn+=taken
place ^nn++++=place,
, ^zz++++=EXTRAWORD
as ^ql++++=as
previously ^rb+tm+++=previously
indicated ^vpsv++agls+xvbn+=indicated.
. ^zz++++=EXTRAWORD
