At ^rb++++=At
the ^ati++++=the
more ^rbr++++=more
radical ^jj+atrb+++=radical
end ^nn++++=end
of ^in++++=of
this ^dt+dem+++=this
perspective ^nn++++=perspective
is ^vbz+bez+vrb++=is
Stanley ^np++++=Stanley
Hauerwas ^np+++??+=Hauerwas
s ^zz++++=s
theological ^jj+atrb+++=theological
adaptation ^nn++++=adaptation
of ^in++++=of
a ^at++++=a
communitarian ^nn+++??+=communitarian
approach ^nn++++=approach
to ^in++++=to
virtue ^nn++++=virtue
ethics ^nn++++=ethics.
. ^zz++++=EXTRAWORD
Originating ^np+++??+=Originating
from ^in++++=from
a ^at++++=a
Protestant ^jj+atrb+++=Protestant
background ^nn++++=background,
, ^zz++++=EXTRAWORD
Hauerwas ^np+++??+=Hauerwas
offers ^vbz++++=offers
a ^at++++=a
strong ^jj+atrb+++=strong
critique ^nn++++=critique
of ^in++++=of
Christian ^jj+atrb+++=Christian
movements ^nns++++=movements
that ^tht+rel+subj++=that
pursue ^vb++++=pursue
alliances ^nns++++=alliances
between ^in++++=between
the ^ati++++=the
Church ^nn++++=Church
and ^cc++++=and
the ^ati++++=the
state ^nn++++=state.
. ^zz++++=EXTRAWORD
Drawing ^nvbg+++xvbg+=Drawing
on ^in++++=on
the ^ati++++=the
work ^nn++++=work
of ^in++++=of
John ^np++++=John
Howard ^np++++=Howard
Yoder ^np+++??+=Yoder,
, ^zz++++=EXTRAWORD
Hauerwas ^np+++??+=Hauerwas
approaches ^nns++++=approaches
any ^dti++++=any
attempt ^nn++++=attempt
to ^to+ncmp+++=to
exert ^vbi++++=exert
religious ^jj+atrb+++=religious
control ^nn++++=control
over ^in++++=over
the ^ati++++=the
political ^jj+atrb+++=political
sphere ^nn++++=sphere
with ^in++++=with
skepticism ^nn+++??+=skepticism,
, ^zz++++=EXTRAWORD
arguing ^vbg+vpub++xvbg+=arguing
that ^tht+vcmp+++=that
the ^ati++++=the
priorities ^nns++++=priorities
of ^in++++=of
the ^ati++++=the
state ^nn++++=state
such ^abl++++=such
as ^ql++++=as
effectiveness ^nn++++=effectiveness
and ^cc++++=and
security ^nn++++=security
are ^vb+ber+vrb++=are
frequently ^rb++++=frequently
incompatible ^jj+pred+++=incompatible
with ^in++++=with
the ^ati++++=the
virtues ^nns++++=virtues
required ^vwbn+++xvbn+=required
by ^in++++=by
faith ^nn++++=faith.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
contends ^vbz+vpub+++=contends
that ^tht+vcmp+++=that
when ^wrb+who+++=when
Christians ^nn++++=Christians
attain ^vb++++=attain
political ^jj+atrb+++=political
power ^nn++++=power,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
compelled ^vpsv++agls+xvbnx+=compelled
to ^to+vcmp+++=to
modify ^vbi++++=modify
moral ^jj+atrb+++=moral
discourse ^nn++++=discourse
to ^to++++=to
accommodate ^vbi++++=accommodate
individuals ^nns++++=individuals
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
not ^xnot++not++=not
formal ^jj+atrb+++=formal
members ^nns++++=members
of ^in++++=of
the ^ati++++=the
Church ^nn++++=Church.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Hauerwas ^np+++??+=Hauerwas
observes ^vbz+vprv+++=observes,
, ^zz++++=EXTRAWORD
servanthood ^nn+++??+=servanthood
and ^cc++++=and
love ^nn++++=love
of ^in++++=of
enemy ^nn++++=enemy,
, ^zz++++=EXTRAWORD
contentment ^nn++++=contentment
