Although ^cs+con+++=Although
measures ^nns++++=measures
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Provisional ^jj+atrb+++=Provisional
Contribution ^nn++++=Contribution
on ^in++++=on
Financial ^jj+atrb+++=Financial
Transactions ^nns++++=Transactions
( ^zz++++=(EC29/2000)
ec29 ^nn+++??+=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
Health ^nn++++=Health
+ ^zz++++=+10
10 ^cd++++=EXTRAWORD
Movement ^nn++++=Movement
were ^vbd+bed+aux++=were
implemented ^vpsv++agls+xvbnx+=implemented
to ^to++++=to
enhance ^vbi++++=enhance
health ^nn++++=health
financing ^vwbg+++xvbg+=financing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
proportion ^nn++++=proportion
of ^in++++=of
gross ^jj+atrb+++=gross
domestic ^jj+atrb+++=domestic
product ^nn++++=product
( ^zz++++=(GDP)
gdp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
allocated ^vprf+++xvbn+=allocated
to ^in++++=to
the ^ati++++=the
Unified ^jj+atrb++xvbn+=Unified
Health ^nn++++=Health
System ^nn++++=System
( ^zz++++=(SUS)
sus ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
remained ^vbd+++xvbn+=remained
lower ^jjr++++=lower
than ^in++++=than
private ^jj+atrb+++=private
health ^nn++++=health
expenditure ^nn++++=expenditure.
. ^zz++++=EXTRAWORD
In ^in++++=In
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil's
's ^$++++=EXTRAWORD
total ^jj+atrb+++=total
health ^nn++++=health
expenditure ^nn++++=expenditure
was ^vbd+bedz+vrb++=was
9.2 ^cd++++=9.2%
% ^zz++++=EXTRAWORD
of ^in++++=of
Gdp ^np+++??+=GDP,
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
public ^jj++++=public
spending ^xvbg+++xvbg+=spending
accounted ^vwbn+++xvbn+=accounted
for ^in+ppvb+++=for
3.9 ^cd++++=3.9%
% ^zz++++=EXTRAWORD
( ^zz++++=(42%)
42 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
private ^jj++++=private
spending ^vbg+++xvbg+=spending
accounted ^vwbn+++xvbn+=accounted
for ^in+ppvb+++=for
5.4 ^cd++++=5.4%
% ^zz++++=EXTRAWORD
( ^zz++++=(58%).
58% ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
