Objective ^jj++++=Objective:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
aims ^vb++++=aims
to ^to+vcmp+++=to
estimate ^vbi++++=estimate
the ^ati++++=the
incidence ^nn++++=incidence
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
among ^in++++=among
vaccinated ^nn+++??+=vaccinated
and ^cc++++=and
unvaccinated ^nn+++??+=unvaccinated
adolescents ^nns++++=adolescents
and ^cc++++=and
to ^to++++=to
describe ^vbi++++=describe
the ^ati++++=the
clinical ^jj+atrb+++=clinical
symptoms ^nns++++=symptoms
observed ^jj++++=observed
in ^in++++=in
each ^dt++++=each
group ^nn++++=group.
. ^zz++++=EXTRAWORD
