There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
research ^nn++++=research
on ^in++++=on
the ^ati++++=the
benthic ^nn+++??+=benthic
ecology ^nn+++??+=ecology
of ^in++++=of
rivers ^nns++++=rivers
and ^cc++++=and
creeks ^nns++++=creeks
along ^in++++=along
the ^ati++++=the
Atlantic ^np++++=Atlantic
coast ^nn++++=coast
of ^in++++=of
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
within ^in++++=within
protected ^xvbn+++xvbn+=protected
areas ^nns++++=areas
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Jureia ^np+++??+=Jureia-Itatins
- ^zz++++=EXTRAWORD
itatins ^nns+++??+=EXTRAWORD
Mosaic ^jj++++=Mosaic,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
Peit ^np+++??+=PEIt
is ^vbz+bez+aux++=is
situated ^vpsv++agls+xvbnx+=situated.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+vrb++=is
significant ^jj+pred+++=significant
as ^ql++++=as
it ^pp3+it+++=it
provides ^vbz+vsua+++=provides
new ^jj+atrb+++=new
data ^nns++++=data
on ^in++++=on
water ^nn++++=water
quality ^nn++++=quality
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
composition ^nn++++=composition,
, ^zz++++=EXTRAWORD
diversity ^nn++++=diversity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
status ^nn++++=status
of ^in++++=of
benthic ^nn+++??+=benthic
macroinvertebrates ^nns++++=macroinvertebrates
at ^rb++++=at
the ^ati++++=the
cachoeira ^np++++=Cachoeira
do ^vb+do+vrb++=do
para ^nn++++=Para
so ^cs+sub+++=so
waterfall ^nn++++=waterfall.
. ^zz++++=EXTRAWORD
