A ^at++++=A
5 ^zz++++=5-minute
- ^zz++++=EXTRAWORD
minute ^nn++++=EXTRAWORD
resting ^vwbg+++xvbg+=resting
electrocardiogram ^nn+++??+=electrocardiogram
( ^zz++++=(ECG)
ecg ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Holter ^np+++??+=Holter
recording ^vwbg+++xvbg+=recording
was ^vbd+bedz+aux++=was
obtained ^vpsv++agls+xvbnx+=obtained,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
frequency ^nn++++=frequency
domain ^nn++++=domain
variables ^nns++++=variables
were ^vbd+bed+vrb++=were
analyzed ^nn+++??+=analyzed
using ^vwbg+++xvbg+=using
Fourier ^np++++=Fourier
transform ^vb++++=transform
methods ^nns++++=methods
with ^in++++=with
Kubios ^np+++??+=Kubios
Hrv ^np+++??+=HRV
software ^nn+++??+=software
( ^zz++++=(version
version ^nn++++=EXTRAWORD
3.0.0 ^cd++++=3.0.0,
, ^zz++++=EXTRAWORD
free ^jj+atrb+++=free
version ^nn++++=version,
, ^zz++++=EXTRAWORD
university ^npl++++=University
of ^in++++=of
eastern ^jj+atrb+++=Eastern
finland ^np++++=Finland).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
