A ^at++++=A
total ^nn++++=total
of ^in++++=of
181 ^cd++++=181
participants ^nns++++=participants
completed ^vbd+++xvbn+=completed
an ^at++++=an
online ^nn+++??+=online
survey ^vb++++=survey
in ^in++++=in
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
identified ^vbd+++xvbnx+=identified
the ^ati++++=the
antecedent ^nn++++=antecedent
of ^in++++=of
the ^ati++++=the
anaphor ^nn+++??+=anaphor
in ^in++++=in
16 ^cd++++=16
ambiguous ^jj+atrb+++=ambiguous
sentences ^nns++++=sentences.
. ^zz++++=EXTRAWORD
The ^ati++++=The
study ^nn++++=study
evaluated ^vwbn+++xvbn+=evaluated
the ^ati++++=the
Position ^nn++++=Position
of ^in++++=of
Antecedent ^jj+atrb+++=Antecedent
Strategy ^nn++++=Strategy
( ^zz++++=(PAS)
pas ^&fw++++=EXTRAWORD
) ^zz++++=EXTRAWORD
across ^in+pl+++=across
three ^cd++++=three
languages ^nns++++=languages
and ^cc++++=and
compared ^vbd+++xvbn+=compared
the ^ati++++=the
relative ^jj+atrb+++=relative
influence ^nn++++=influence
of ^in++++=of
semantic ^jj+atrb+++=semantic
and ^cc+phrs+++=and
syntactic ^jj+atrb+++=syntactic
factors ^nns++++=factors
on ^in++++=on
the ^ati++++=the
resolution ^nn++++=resolution
of ^in++++=of
ambiguous ^jj+atrb+++=ambiguous
anaphora ^nn++++=anaphora.
. ^zz++++=EXTRAWORD
