More ^rbr++++=More
than ^in++++=than
a ^at++++=a
year ^nn++++=year
after ^in++++=after
the ^ati++++=the
onset ^nn++++=onset
of ^in++++=of
the ^ati++++=the
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
statistical ^jj++++=statistical
monitoring ^xvbg+++xvbg+=monitoring
continues ^vbz++++=continues
to ^to++++=to
present ^vbi++++=present
significant ^jj++++=significant
challenges ^vbz++++=challenges.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
diagnostic ^jj+atrb++??+=diagnostic
tests ^nns++++=tests
for ^in++++=for
detecting ^jj+atrb+++=detecting
infection ^nn++++=infection
are ^vb+ber+vrb++=are
now ^rn+tm+++=now
considerably ^rb++++=considerably
more ^rbr++++=more
accessible ^jj++++=accessible
than ^in++++=than
during ^in++++=during
the ^ati++++=the
initial ^jj+atrb+++=initial
stages ^nns++++=stages
of ^in++++=of
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
disparities ^nns+++??+=disparities
in ^in++++=in
access ^nn++++=access
persist ^vb++++=persist
across ^in+pl+++=across
different ^jj+atrb+++=different
localities ^nns++++=localities
and ^cc++++=and
social ^jj+atrb+++=social
groups ^nns++++=groups
[ ^zz++++=[O
o ^zz++++=EXTRAWORD
Driscoll ^np+++??+=Driscoll
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021:
: ^zz++++=EXTRAWORD
140 ^cd++++=140].
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
earlier ^jjr+atrb+++=earlier
testing ^jj+atrb++xvbg+=testing
limitations ^nns++++=limitations
continue ^vb++++=continue
to ^to++++=to
influence ^vbi++++=influence
cumulative ^jj+atrb+++=cumulative
case ^nn++++=case
indicators ^nns++++=indicators.
. ^zz++++=EXTRAWORD
The ^ati++++=The
use ^nn++++=use
of ^in++++=of
additional ^jj+atrb+++=additional
epidemiologically ^nn+++??+=epidemiologically
relevant ^jj+atrb+++=relevant
variables ^nns++++=variables,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
hospitalizations ^nns+++??+=hospitalizations,
, ^zz++++=EXTRAWORD
Icu ^np+++??+=ICU
admissions ^nns++++=admissions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
intubations ^nns+++??+=intubations,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
constrained ^vpsv++by+xvbnx+=constrained
by ^in++++=by
inconsistent ^jj+atrb+++=inconsistent
definitions ^nns++++=definitions
of ^in++++=of
these ^dt+dem+++=these
events ^nns++++=events
and ^cc++++=and,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
importantly ^rb+cnj+++=importantly,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
systematic ^nn++++=systematic
reporting ^vwbg+++xvbg+=reporting
in ^in++++=in
most ^ql+emph+++=most
official ^jj+atrb+++=official
information ^nn++++=information
systems ^nns++++=systems.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
deaths ^nns++++=deaths
is ^vbz+bez+aux++=is
widely ^rb++splt++=widely
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
a ^at++++=a
more ^rbr++++=more
reliable ^jj+atrb+++=reliable
indicator ^nn++++=indicator
of ^in++++=of
the ^ati++++=the
magnitude ^nn++++=magnitude
of ^in++++=of
the ^ati++++=the
epidemic ^nn++++=epidemic
[ ^zz++++=[O
o ^zz++++=EXTRAWORD
Driscoll ^np+++??+=Driscoll
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021:
: ^zz++++=EXTRAWORD
140 ^cd++++=140]
] ^zz++++=EXTRAWORD
and ^cc++++=and
for ^in++++=for
understanding ^xvbg+++xvbg+=understanding
its ^pp$+it+++=its
dynamics ^nn++++=dynamics
[ ^zz++++=[Hallal,
hallal ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020:
: ^zz++++=EXTRAWORD
2403 ^cd++++=2403].
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Heuveline ^np+++??+=Heuveline
and ^cc++++=and
Tzen ^np+++??+=Tzen
( ^zz++++=(2021:
2021 ^cd++++=EXTRAWORD
: ^zz++++=EXTRAWORD
6 ^zz++++=6)
) ^zz++++=EXTRAWORD
also ^rb++++=also
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
mortality ^nn++++=mortality
data ^nns++++=data
are ^vb+ber+vrb++=are
more ^rbr++++=more
comparable ^jj+pred+++=comparable
and ^cc++++=and
generally ^rb+down+++=generally
more ^rbr++++=more
reliable ^jj++++=reliable,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
not ^xnot++not++=not
entirely ^rb+amp+++=entirely
free ^jj++++=free
from ^in++++=from
underestimation ^nn++++=underestimation
[ ^zz++++=[Orellana
orellana ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020],
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
making ^jj+++xvbg+=making
them ^pp3o+pp3+++=them
particularly ^rb++++=particularly
relevant ^jj++++=relevant
for ^in++++=for
evaluating ^nn+++??+=evaluating
public ^jj+atrb+++=public
policy ^nn++++=policy
responses ^nns++++=responses
to ^in++++=to
the ^ati++++=the
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
focus ^nn++++=focus
does ^vbz+doz+aux++=does
not ^xnot++not++=not
preclude ^vb++++=preclude
recognition ^nn++++=recognition
of ^in++++=of
the ^ati++++=the
substantial ^jj+atrb+++=substantial
human ^jj+atrb+++=human
impact ^nn++++=impact
associated ^vbd+++xvbn+=associated
with ^in++++=with
non ^&fw++++=non-fatal
- ^zz++++=EXTRAWORD
fatal ^jj+atrb+++=EXTRAWORD
cases ^nns++++=cases
of ^in++++=of
the ^ati++++=the
disease ^nn++++=disease.
. ^zz++++=EXTRAWORD
