At ^rb++++=At
the ^ati++++=the
microcurricular ^nn+++??+=microcurricular
level ^nn++++=level,
, ^zz++++=EXTRAWORD
alignment ^nn++++=alignment
with ^in++++=with
the ^ati++++=the
two ^cd++++=two
preceding ^jj+atrb++xvbg+=preceding
levels ^nns++++=levels
is ^vbz+bez+aux++=is
demonstrated ^vpsv++agls+xvbnx+=demonstrated
through ^in++++=through
the ^ati++++=the
learning ^jj+atrb++xvbg+=learning
outcomes ^nns+++??+=outcomes
specified ^vbd+vsua++xvbn+=specified
for ^in++++=for
each ^dt++++=each
module ^nn+++??+=module
in ^in++++=in
the ^ati++++=the
curriculum ^nn++++=curriculum.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
outcomes ^nns+++??+=outcomes
are ^vb+ber+aux++=are
developed ^vpsv++agls+xvbnx+=developed
with ^in++++=with
consideration ^nn++++=consideration
of ^in++++=of
quality ^nn++++=quality
standards ^nns++++=standards,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
innovation ^nn++++=innovation
and ^cc++++=and
flexibility ^nn++++=flexibility
in ^in++++=in
the ^ati++++=the
integration ^nn++++=integration
of ^in++++=of
computer ^nn++++=computer
tools ^nns++++=tools
in ^in++++=in
the ^ati++++=the
classroom ^nn++++=classroom,
, ^zz++++=EXTRAWORD
in ^in++++=in
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
rapid ^jj+atrb+++=rapid
advancement ^nn++++=advancement
of ^in++++=of
technology ^nn++++=technology.
. ^zz++++=EXTRAWORD
