A ^at++++=A
three ^cd++++=three-stage
- ^zz++++=EXTRAWORD
stage ^nn++++=EXTRAWORD
cluster ^nn++++=cluster
sampling ^nn++++=sampling
design ^nn++++=design
was ^vbd+bedz+aux++=was
employed ^vpsv++agls+xvbnx+=employed.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
third ^od++++=third
stages ^nns++++=stages,
, ^zz++++=EXTRAWORD
census ^nn++++=census
sectors ^nns++++=sectors
were ^vbd+bed+aux++=were
selected ^vpsv++agls+xvbnx+=selected
randomly ^rb++++=randomly
and ^cc++++=and
without ^in++++=without
replacement ^nn++++=replacement.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
each ^dt++++=each
selected ^jj+atrb++xvbn+=selected
census ^nn++++=census
sector ^nn++++=sector,
, ^zz++++=EXTRAWORD
households ^nns++++=households
were ^vbd+bed+aux++=were
chosen ^vpsv++agls+xvbnx+=chosen
using ^vbg+++xvbg+=using
a ^at++++=a
systematic ^jj+atrb+++=systematic
sampling ^nn++++=sampling
method ^nn++++=method.
. ^zz++++=EXTRAWORD
Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
resident ^nn++++=resident
from ^in++++=from
each ^dt++++=each
selected ^jj+atrb++xvbn+=selected
household ^nn++++=household
was ^vbd+bedz+vrb++=was
randomly ^rb++++=randomly
chosen ^jj+pred+++=chosen
using ^vbg+++xvbg+=using
the ^ati++++=the
sorteador ^np++++=Sorteador
de ^&fw++++=de
nomes ^np++++=Nomes
application ^nn++++=application
[ ^zz++++=[15].
15 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
