Educational ^jj+atrb+++=Educational
processes ^nns++++=processes
are ^vb+ber+aux++=are
grounded ^vpsv++agls+xvbnx+=grounded
in ^in++++=in
several ^ap++++=several
learning ^jj+atrb++xvbg+=learning
theories ^nns++++=theories
that ^tht+rel+subj++=that
seek ^vb++++=seek
to ^to+vcmp+++=to
explain ^vbi+vpub+++=explain
how ^wrb+who+whcl++=how
individuals ^nns++++=individuals
acquire ^vb++++=acquire,
, ^zz++++=EXTRAWORD
process ^nn++++=process,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
retain ^vb++++=retain
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
Behaviorism ^np+++??+=Behaviorism
emphasizes ^vbz+vpub+++=emphasizes
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
external ^jj+atrb+++=external
stimuli ^nns++++=stimuli
and ^cc++++=and
reinforcement ^nn++++=reinforcement
in ^in++++=in
shaping ^xvbg+++xvbg+=shaping
observable ^jj+atrb+++=observable
behaviors ^nns+++??+=behaviors,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
learning ^xvbg+++xvbg+=learning
occurs ^vbz++++=occurs
through ^in++++=through
conditioning ^nn++++=conditioning.
. ^zz++++=EXTRAWORD
Cognitivism ^np+++??+=Cognitivism
focuses ^vbz++++=focuses
on ^in++++=on
the ^ati++++=the
mental ^jj+atrb+++=mental
processes ^nns++++=processes
involved ^vbd+++xvbn+=involved
in ^in++++=in
learning ^xvbg+++xvbg+=learning,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
perception ^nn++++=perception,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
problem ^nn++++=problem-solving,
- ^zz++++=EXTRAWORD
solving ^jj+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
posits ^nns+++??+=posits
that ^tht+rel+obj++=that
learners ^nns++++=learners
actively ^rb++++=actively
construct ^vb++++=construct
knowledge ^nn++++=knowledge
by ^in++++=by
organizing ^xvbg+++xvbg+=organizing
and ^cc++++=and
integrating ^xvbg+++xvbg+=integrating
new ^jj+atrb+++=new
information ^nn++++=information
with ^in++++=with
existing ^xvbg+++xvbg+=existing
cognitive ^nn+++??+=cognitive
structures ^nns++++=structures.
. ^zz++++=EXTRAWORD
Constructivism ^np+++??+=Constructivism
asserts ^vbz+vpub+++=asserts
that ^tht+vcmp+++=that
learning ^vbg+vprv++xvbg+=learning
is ^vbz+bez+vrb++=is
an ^at++++=an
active ^jj++++=active,
, ^zz++++=EXTRAWORD
contextualized ^nn+++??+=contextualized
process ^nn++++=process
in ^in++++=in
which ^whp+rel+pied++=which
learners ^nns++++=learners
build ^nn++++=build
new ^jj+atrb+++=new
understandings ^nns++++=understandings
based ^vwbn+++xvbn+=based
on ^in++++=on
their ^pp$+pp3+++=their
experiences ^nns++++=experiences
and ^cc++++=and
prior ^jj+atrb+++=prior
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
Social ^jj+atrb+++=Social
learning ^jj+atrb++xvbg+=learning
theory ^nn++++=theory
highlights ^nns++++=highlights
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
observation ^nn++++=observation,
, ^zz++++=EXTRAWORD
imitation ^nn++++=imitation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
modeling ^nn+++??+=modeling
in ^in++++=in
the ^ati++++=the
learning ^jj+atrb++xvbg+=learning
process ^nn++++=process,
, ^zz++++=EXTRAWORD
emphasizing ^vbg+++xvbg+=emphasizing
the ^ati++++=the
influence ^nn++++=influence
of ^in++++=of
social ^jj+atrb+++=social
interactions ^nns++++=interactions
and ^cc++++=and
the ^ati++++=the
environment ^nn++++=environment.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
theories ^nns++++=theories
collectively ^nn+++??+=collectively
inform ^vb++++=inform
the ^ati++++=the
design ^nn++++=design
and ^cc++++=and
implementation ^nn++++=implementation
of ^in++++=of
educational ^jj+atrb+++=educational
practices ^nns++++=practices
by ^in++++=by
providing ^xvbg+++xvbg+=providing
frameworks ^nns++++=frameworks
for ^in++++=for
understanding ^xvbg+++xvbg+=understanding
how ^wrb+who+++=how
learning ^xvbg+++xvbg+=learning
occurs ^vbz++++=occurs
and ^cc+cls+++=and
how ^wrb+who+++=how
instructional ^jj+atrb+++=instructional
strategies ^nns++++=strategies
can ^md+pos+++=can
be ^vb+be+vrb++=be
optimized ^nn++++=optimized
to ^in++++=to
support ^nn++++=support
learner ^nn++++=learner
development ^nn++++=development.
. ^zz++++=EXTRAWORD
