Data ^nns++++=Data
for ^in++++=for
the ^ati++++=the
nine ^cd++++=nine
additional ^jj+atrb+++=additional
countries ^nns++++=countries
in ^in++++=in
this ^dt+dem+++=this
group ^nn++++=group
South ^np+pl+++=South
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
Argentina ^np++++=Argentina,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
Colombia ^np+++??+=Colombia,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Philippines ^np+++??+=Philippines,
, ^zz++++=EXTRAWORD
Hungary ^np++++=Hungary,
, ^zz++++=EXTRAWORD
Mexico ^np++++=Mexico,
, ^zz++++=EXTRAWORD
Peru ^np++++=Peru,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Poland ^np++++=Poland
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
from ^in++++=from
the ^ati++++=the
official ^jj+atrb+++=official
websites ^nns+++??+=websites
of ^in++++=of
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
health ^nn++++=health
authorities ^nns++++=authorities.
. ^zz++++=EXTRAWORD
Accessing ^np+++??+=Accessing
relevant ^jj+atrb+++=relevant
information ^nn++++=information
frequently ^rb++++=frequently
necessitated ^vbd+++xvbn+=necessitated
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
search ^nn++++=search
terms ^nns++++=terms
in ^in++++=in
the ^ati++++=the
native ^jj+atrb+++=native
languages ^nns++++=languages
of ^in++++=of
each ^dt++++=each
country ^nn++++=country,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
translation ^nn++++=translation
of ^in++++=of
table ^nn++++=table
and ^cc++++=and
graph ^nn++++=graph
headings ^nns++++=headings
into ^in++++=into
English ^nn++++=English.
. ^zz++++=EXTRAWORD
Consistent ^jj++++=Consistent
with ^in++++=with
the ^ati++++=the
methodology ^nn++++=methodology
employed ^vbd+++xvbn+=employed
in ^in++++=in
previous ^jj+atrb+++=previous
studies ^nns++++=studies
[ ^zz++++=[PECKHAM
peckham ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020:
: ^zz++++=EXTRAWORD
5 ^zz++++=5],
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
google ^np++++=Google
translator ^nn++++=Translator
was ^vbd+bedz+aux++=was
utilized ^vpsv++agls+xvbn+=utilized
to ^in++++=to
facilitate ^vb++++=facilitate
these ^dt+dem+++=these
translations ^nns++++=translations.
. ^zz++++=EXTRAWORD
