Content ^nn++++=Content
Management ^nn++++=Management
Systems ^nns++++=Systems
( ^zz++++=(CMS)
cms ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
learning ^xvbg+++xvbg+=learning
are ^vb+ber+vrb++=are
a ^at++++=a
component ^nn++++=component
of ^in++++=of
Information ^nn++++=Information
and ^cc++++=and
Communication ^nn++++=Communication
Technologies ^np+++??+=Technologies
( ^zz++++=(ICT)
ict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
that ^dt+dem+++=that
support ^nn++++=support
educational ^jj+atrb+++=educational
processes ^nns++++=processes.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
Cms ^np+++??+=CMS
are ^vb+ber+aux++=are
commonly ^rb++splt++=commonly
utilized ^vpsv++agls+xvbnx+=utilized
in ^in++++=in
virtual ^jj+atrb+++=virtual
learning ^jj+atrb++xvbg+=learning
environments ^nns++++=environments,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
also ^rb++++=also
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
supplementary ^jj+atrb+++=supplementary
tool ^nn++++=tool
in ^in++++=in
face ^nn++++=face-to-face
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
instruction ^nn++++=instruction
by ^in++++=by
assisting ^xvbg+++xvbg+=assisting
teachers ^nns++++=teachers
in ^in++++=in
organizing ^xvbg+++xvbg+=organizing
and ^cc++++=and
structuring ^nn++++=structuring
course ^rb++++=course
content ^nn++++=content
( ^zz++++=(Garc
garc ^nn+++??+=EXTRAWORD
a ^at++++=a-Valc
- ^zz++++=EXTRAWORD
valc ^nn+++??+=EXTRAWORD
rcel ^nn+++??+=rcel,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
teachers ^vb++++=teachers
to ^to+vcmp+++=to
possess ^vbi++++=possess
the ^ati++++=the
requisite ^jj+atrb+++=requisite
skills ^nns++++=skills
to ^in++++=to
effectively ^rb++++=effectively
leverage ^vb++++=leverage
Ict ^np+++??+=ICT,
, ^zz++++=EXTRAWORD
as ^ql++++=as
this ^dt+pdem+++=this
can ^md+pos+++=can
facilitate ^vb++++=facilitate
various ^jj+atrb+++=various
cognitive ^nn+++??+=cognitive
outcomes ^nns+++??+=outcomes
and ^cc++++=and
enhance ^vb++++=enhance
students ^nns++++=students
attitudes ^nns++++=attitudes,
, ^zz++++=EXTRAWORD
imagination ^nn++++=imagination,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
creativity ^nn+++??+=creativity
throughout ^in++++=throughout
the ^ati++++=the
teaching ^jj+++xvbg+=teaching-learning
- ^zz++++=EXTRAWORD
learning ^vbg+vprv++xvbg+=EXTRAWORD
process ^nn++++=process
( ^zz++++=(De
de ^&fw++++=EXTRAWORD
la ^&fw++++=la
torre ^np++++=Torre,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
