However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
the ^ati++++=the
subordinate ^jj+atrb+++=subordinate
clause ^nn++++=clause
differs ^vbz++++=differs
from ^in++++=from
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
main ^jjb+atrb+++=main
clause ^nn++++=clause,
, ^zz++++=EXTRAWORD
speakers ^nns++++=speakers
of ^in++++=of
Spanish ^jj++++=Spanish
and ^cc++++=and
Portuguese ^nn++++=Portuguese
use ^nn++++=use
a ^at++++=a
personal ^jj+atrb+++=personal
pronoun ^nn++++=pronoun,
, ^zz++++=EXTRAWORD
as ^in++++=as
illustrated ^nn++++=illustrated
in ^in++++=in
( ^zz++++=(4).
4 ^zz++++=EXTRAWORD
). ^nn++++=EXTRAWORD
