Drawing ^nvbg+++xvbg+=Drawing
on ^in++++=on
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
Brazil ^np++++=Brazil
under ^in++++=under
the ^ati++++=the
Bolsonaro ^np+++??+=Bolsonaro
administration ^nn++++=administration,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
paper ^nn++++=paper
identifies ^vbz++++=identifies
specific ^jj+atrb+++=specific
characteristics ^nns++++=characteristics
that ^tht+rel+subj++=that
distinguish ^vb++++=distinguish
policy ^nn++++=policy
dismantling ^nn++++=dismantling
from ^in++++=from
routine ^nn++++=routine
policy ^nn++++=policy
change ^nn++++=change.
. ^zz++++=EXTRAWORD
In ^in++++=In
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
policy ^nn++++=policy
dismantling ^nn++++=dismantling
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
characterized ^nn+++??+=characterized
by ^in++++=by
authoritarian ^jj+atrb+++=authoritarian
practices ^nns++++=practices
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
disrupted ^vprf+++xvbnx+=disrupted
the ^ati++++=the
functioning ^jj+++xvbg+=functioning
of ^in++++=of
the ^ati++++=the
federal ^jj+atrb+++=federal
bureaucracy ^nn++++=bureaucracy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bureaucracy ^nn++++=bureaucracy
serves ^vbz++++=serves
not ^xnot++not++=not
only ^rb+down+++=only
as ^ql++++=as
a ^at++++=a
central ^jj+atrb+++=central
component ^nn++++=component
of ^in++++=of
the ^ati++++=the
state ^nn++++=state
s ^zz++++=s
administrative ^jj+atrb+++=administrative
apparatus ^nn++++=apparatus
but ^cc++++=but
also ^rb++++=also
as ^in++++=as
an ^at++++=an
autonomous ^jj+atrb+++=autonomous
group ^nn++++=group
of ^in++++=of
actors ^nns++++=actors
within ^in++++=within
the ^ati++++=the
policy ^nn++++=policy
process ^nn++++=process
( ^zz++++=(Bauer,
bauer ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Peters ^np++++=Peters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Pierre ^&fw++++=Pierre,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
resulting ^jj+atrb++xvbg+=resulting
disorganization ^nn++++=disorganization
within ^in++++=within
the ^ati++++=the
bureaucracy ^nn++++=bureaucracy
has ^vbz+hvz+aux++=has
contributed ^vprf+++xvbnx+=contributed
to ^in++++=to
both ^abx++++=both
the ^ati++++=the
systematic ^jj+atrb+++=systematic
dismantling ^nn++++=dismantling
of ^in++++=of
federal ^jj+atrb+++=federal
policies ^nns++++=policies
and ^cc++++=and
the ^ati++++=the
weakening ^nn++++=weakening
of ^in++++=of
policy ^nn++++=policy
capacity ^nn++++=capacity
at ^rb++++=at
individual ^jj+atrb+++=individual
and ^cc+phrs+++=and
institutional ^jj+atrb+++=institutional
levels ^nns++++=levels
( ^zz++++=(Wu
wu ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
paper ^nn++++=paper
addresses ^nns++++=addresses
the ^ati++++=the
need ^nn++++=need,
, ^zz++++=EXTRAWORD
as ^ql++++=as
articulated ^vb+++??+=articulated
by ^in++++=by
Bauer ^np+++??+=Bauer,
, ^zz++++=EXTRAWORD
Peters ^np++++=Peters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Pierre ^&fw++++=Pierre
( ^zz++++=(2021),
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
further ^jjb+atrb+++=further
examination ^nn++++=examination
of ^in++++=of
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
populist ^nn+++??+=populist
governments ^nns++++=governments
exhibiting ^vwbg+++xvbg+=exhibiting
democratic ^jj+atrb+++=democratic
backsliding ^nn++++=backsliding
and ^cc++++=and
the ^ati++++=the
public ^jj+atrb+++=public
bureaucracies ^nns++++=bureaucracies
within ^in++++=within
their ^pp$+pp3+++=their
states ^nns++++=states.
. ^zz++++=EXTRAWORD
