Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
in ^in++++=in
light ^nn++++=light
of ^in++++=of
the ^ati++++=the
circumstances ^nns++++=circumstances
described ^vbd+++xvbn+=described
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
clear ^jj+atrb+++=clear
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
establish ^vb+vprv+++=establish
a ^at++++=a
postgraduate ^jjb+atrb+++=postgraduate
program ^nn+++??+=program.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
program ^nn+++??+=program
should ^md+nec+++=should
aim ^vb++++=aim
to ^to+vcmp+++=to
advance ^vb++++=advance
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
education ^nn++++=education
in ^in++++=in
Ecuador ^np+++??+=Ecuador
by ^in++++=by
proposing ^xvbg+++xvbg+=proposing
a ^at++++=a
curricular ^nn+++??+=curricular
design ^nn++++=design
that ^tht+rel+subj++=that
enables ^vbz++++=enables
teachers ^nns++++=teachers
across ^in+pl+++=across
various ^jj+atrb+++=various
educational ^jj+atrb+++=educational
levels ^nns++++=levels
to ^to++++=to
acquire ^vbi++++=acquire
the ^ati++++=the
competencies ^nns+++??+=competencies
necessary ^jj++++=necessary
for ^in++++=for
the ^ati++++=the
effective ^jj+atrb+++=effective
integration ^nn++++=integration
of ^in++++=of
technology ^nn++++=technology
into ^in++++=into
the ^ati++++=the
learning ^jj+atrb++xvbg+=learning
process ^nn++++=process.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
program ^nn+++??+=program
should ^md+nec+++=should
seek ^vb++++=seek
to ^to+vcmp+++=to
improve ^vbi++++=improve
student ^nn++++=student
academic ^jj+atrb+++=academic
outcomes ^nns+++??+=outcomes
by ^in++++=by
promoting ^xvbg+++xvbg+=promoting
pedagogical ^jj+atrb+++=pedagogical
approaches ^nns++++=approaches
that ^tht+rel+subj++=that
recognize ^vb+vprv+++=recognize
students ^nns++++=students
as ^in++++=as
active ^jj++++=active,
, ^zz++++=EXTRAWORD
critical ^jj++++=critical,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reflective ^jj+atrb+++=reflective
participants ^nns++++=participants
in ^in++++=in
the ^ati++++=the
acquisition ^nn++++=acquisition
and ^cc++++=and
management ^nn++++=management
of ^in++++=of
information ^nn++++=information,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
increasingly ^rb++++=increasingly
essential ^jj+pred+++=essential
in ^in++++=in
contemporary ^jj+atrb+++=contemporary
educational ^jj+atrb+++=educational
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
