To ^in++++=To
address ^nn++++=address
the ^ati++++=the
issues ^nn++++=issues
outlined ^vbd+++xvbn+=outlined
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
adapted ^vbd+++xvbn+=adapted
and ^cc+phrs+++=and
expanded ^vbd+++xvbn+=expanded
the ^ati++++=the
methodology ^nn++++=methodology
proposed ^vwbn+++xvbn+=proposed
by ^in++++=by
Alves ^np+++??+=Alves
and ^cc++++=and
Vasconcellos ^np+++??+=Vasconcellos
( ^zz++++=(2016).
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
conducted ^vbd+++xvbn+=conducted
searches ^nns++++=searches
on ^in++++=on
the ^ati++++=the
Dom ^&fw++++=Dom
nio ^nn+++??+=nio
P ^zz++++=P
blico ^nn+++??+=blico,
, ^zz++++=EXTRAWORD
Bdtd ^np+++??+=BDTD,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Capes ^np+++??+=CAPES
websites ^nns+++??+=websites
using ^vwbg+++xvbg+=using
not ^xnot++not++=not
only ^rb+down+++=only
individual ^jj+atrb+++=individual
keywords ^nns+++??+=keywords
but ^cc++++=but
also ^rb++++=also
combinations ^nns++++=combinations
of ^in++++=of
keywords ^nns+++??+=keywords,
, ^zz++++=EXTRAWORD
various ^jj+atrb+++=various
filters ^nns+++??+=filters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
author ^nn++++=author
name ^nn++++=name
searches ^nns++++=searches.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
procedures ^nns++++=procedures
facilitated ^vwbn+++xvbn+=facilitated
the ^ati++++=the
verification ^nn+++??+=verification
of ^in++++=of
all ^rb++++=all
retrieved ^vbd+++xvbn+=retrieved
information ^nn++++=information
and ^cc++++=and
optimized ^nn+++??+=optimized
the ^ati++++=the
search ^nn++++=search
results ^nns++++=results,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
minimizing ^vbg+++xvbg+=minimizing
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
duplication ^nn++++=duplication
or ^cc++++=or
omission ^nn++++=omission
of ^in++++=of
relevant ^jj+atrb+++=relevant
data ^nns++++=data.
. ^zz++++=EXTRAWORD
