To ^in++++=To
validate ^nn+++??+=validate
the ^ati++++=the
model ^nn++++=model,
, ^zz++++=EXTRAWORD
initial ^jj+atrb+++=initial
conditions ^nns++++=conditions
and ^cc++++=and
parameters ^nns++++=parameters
associated ^vbd+++xvbn+=associated
with ^in++++=with
host ^nn++++=host
transmission ^nn++++=transmission
in ^in++++=in
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
Hoyo ^np+++??+=Hoyo
de ^&fw++++=de
Manzanares ^np+++??+=Manzanares
were ^vbd+bed+aux++=were
applied ^vpsv++agls+xvbnx+=applied,
, ^zz++++=EXTRAWORD
as ^in++++=as
described ^nn++++=described
in ^in++++=in
previous ^jj+atrb+++=previous
studies ^nns++++=studies
[ ^zz++++=[9,47].
9,47 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consistent ^jj++++=Consistent
with ^in++++=with
methodologies ^nn++++=methodologies
employed ^vbd+++xvbn+=employed
in ^in++++=in
other ^ap++++=other
agent ^nn++++=agent-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
epidemiological ^nn+++??+=epidemiological
models ^nns++++=models
[ ^zz++++=[13,48],
13,48 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
outputs ^nns+++??+=outputs
of ^in++++=of
Abcsim ^np+++??+=AbCSim
were ^vbd+bed+aux++=were
compared ^vpsv++agls+xvbnx+=compared
with ^in++++=with
field ^nn++++=field
data ^nns++++=data,
, ^zz++++=EXTRAWORD
demonstrating ^vbg+++xvbg+=demonstrating
agreement ^nn++++=agreement
between ^in++++=between
simulated ^nn+++??+=simulated
and ^cc++++=and
observed ^vbn+vprv++xvbn+=observed
results ^nns++++=results.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dispersion ^nn++++=dispersion
of ^in++++=of
model ^nn++++=model
outputs ^nns+++??+=outputs,
, ^zz++++=EXTRAWORD
assessed ^xvbn+++xvbn+=assessed
using ^vbg+++xvbg+=using
the ^ati++++=the
interquartile ^nn+++??+=interquartile
range ^nn++++=range,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
found ^vbd+vprv++xvbn+=found
to ^to+vcmp+++=to
be ^vbi++vrb++=be
within ^in++++=within
acceptable ^jj+atrb+++=acceptable
limits ^nns++++=limits.
. ^zz++++=EXTRAWORD
