Among ^in++++=Among
the ^ati++++=the
most ^ql+emph+++=most
representative ^npt++++=representative
botanical ^nn+++??+=botanical
families ^nns++++=families
of ^in++++=of
the ^ati++++=the
Atlantic ^np++++=Atlantic
Domain ^nn++++=Domain,
, ^zz++++=EXTRAWORD
Melastomataceae ^np+++??+=Melastomataceae
is ^vbz+bez+vrb++=is
notable ^jj+pred+++=notable,
, ^zz++++=EXTRAWORD
comprising ^jj+++xvbg+=comprising
a ^at++++=a
total ^nn++++=total
of ^in++++=of
510 ^cd++++=510
taxa ^nn+++??+=taxa
( ^zz++++=(Flora
flora ^np++++=EXTRAWORD
do ^vb+do+vrb++=do
Brasil ^np+++??+=Brasil
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
genus ^nns+++??+=genus
Pleroma ^np+++??+=Pleroma
D ^zz++++=D.
. ^zz++++=EXTRAWORD
Don ^npt++++=Don,
, ^zz++++=EXTRAWORD
belonging ^vbg+++xvbg+=belonging
to ^in++++=to
Melastomataceae ^np+++??+=Melastomataceae,
, ^zz++++=EXTRAWORD
includes ^vb++++=includes
approximately ^rb+down+++=approximately
160 ^cd++++=160
species ^nn++++=species
with ^in++++=with
a ^at++++=a
Neotropical ^np+++??+=Neotropical
distribution ^nn++++=distribution,
, ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=occurring
primarily ^rb+down+++=primarily
in ^in++++=in
the ^ati++++=the
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest
and ^cc++++=and
Cerrado ^np+++??+=Cerrado
domains ^nns++++=domains
and ^cc++++=and
only ^rb+down+++=only
rarely ^rb++++=rarely
in ^in++++=in
the ^ati++++=the
Caatinga ^np+++??+=Caatinga
( ^zz++++=(Guimar
guimar ^nn+++??+=EXTRAWORD
es ^&fw++++=es
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Of ^in++++=Of
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
five ^cd++++=five
species ^nns++++=species
extend ^vb++++=extend
into ^in++++=into
the ^ati++++=the
northwest ^nr++++=northwest
and ^cc++++=and
west ^np+pl+++=west
regions ^nns++++=regions
of ^in++++=of
South ^np+pl+++=South
America ^np++++=America
( ^zz++++=(Freitas
freitas ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Fraga ^np+++??+=Fraga
and ^cc++++=and
Guimar ^np+++??+=Guimar
es ^&fw++++=es
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Oliveira ^np+++??+=Oliveira
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Guimar ^np+++??+=Guimar
es ^&fw++++=es
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
