As ^in++++=As
noted ^nn++++=noted
by ^in++++=by
Mawhinney ^np+++??+=Mawhinney
( ^zz++++=(2007)
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Fischer ^np+++??+=Fischer
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
Irish ^jj+atrb+++=Irish
educational ^jj+atrb+++=educational
system ^nn++++=system
demonstrates ^vbz+vpub+++=demonstrates
significant ^jj+atrb+++=significant
limitations ^nns++++=limitations
regarding ^in++++=regarding
democratic ^jj+atrb+++=democratic
pluralism ^nn+++??+=pluralism
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
its ^pp$+it+++=its
dependence ^nn++++=dependence
on ^in++++=on
denominational ^jj+atrb+++=denominational
schools ^nns++++=schools
to ^to++++=to
provide ^vbi+vsua+++=provide
public ^jj+atrb+++=public
education ^nn++++=education.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
reliance ^nn++++=reliance
leads ^vbz++++=leads
to ^in++++=to
discriminatory ^jj+atrb+++=discriminatory
enrolment ^nn+++??+=enrolment
policies ^nns++++=policies
and ^cc++++=and
the ^ati++++=the
enforcement ^nn++++=enforcement
of ^in++++=of
specific ^jj+atrb+++=specific
religious ^jj+atrb+++=religious
ethos ^nn++++=ethos.
. ^zz++++=EXTRAWORD
Parents ^nns++++=Parents
of ^in++++=of
children ^nns++++=children
with ^in++++=with
differing ^xvbg+++xvbg+=differing
religious ^jj+atrb+++=religious
or ^cc+phrs+++=or
secular ^jj+atrb+++=secular
backgrounds ^nns++++=backgrounds
are ^vb+ber+aux++=are
not ^xnot++not++=not
afforded ^vwbn+++xvbn+=afforded
equitable ^jj+atrb+++=equitable
opportunities ^nns++++=opportunities
for ^in++++=for
school ^nn++++=school
choice ^nn++++=choice
and ^cc++++=and
their ^pp$+pp3+++=their
children ^nns++++=children
are ^vb+ber+aux++=are
often ^rb++splt++=often
subjected ^vpsv++agls+xvbnx+=subjected
to ^in++++=to
a ^at++++=a
unidirectional ^nn+++??+=unidirectional
process ^nn++++=process
of ^in++++=of
religious ^jj+atrb+++=religious
instruction ^nn++++=instruction.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
liberal ^jj+atrb+++=liberal
critiques ^nns++++=critiques
of ^in++++=of
current ^jj+atrb+++=current
state ^nn++++=state
policies ^nns++++=policies
are ^vb+ber+aux++=are
justified ^vpsv++agls+xvbnx+=justified
to ^in++++=to
some ^dti++++=some
extent ^nn++++=extent,
, ^zz++++=EXTRAWORD
as ^ql++++=as
these ^dt+dem+++=these
policies ^nns++++=policies,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
not ^xnot++not++=not
necessarily ^rb++++=necessarily
violating ^jj+atrb++??+=violating
European ^jj+atrb+++=European
human ^jj+atrb+++=human
rights ^nns++++=rights
laws ^nns++++=laws,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
fulfill ^vb++++=fulfill
the ^ati++++=the
standards ^nns++++=standards
of ^in++++=of
communicative ^nn++++=communicative
rationality ^nn++++=rationality.
. ^zz++++=EXTRAWORD
