All ^abn++++=All
studies ^nns++++=studies
were ^vbd+bed+aux++=were
registered ^vpsv++agls+xvbnx+=registered
on ^in++++=on
recognized ^vbd+vprv++xvbn+=recognized
clinical ^jj+atrb+++=clinical
trial ^nn++++=trial
registry ^nn++++=registry
platforms ^nns++++=platforms,
, ^zz++++=EXTRAWORD
including ^in++++=including
Clinicaltrials.gov35,36,38 ^np+++??+=ClinicalTrials.gov35,36,38
40,42,44,45,47,48,50,52 ^cd++++=40,42,44,45,47,48,50,52,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Chinese ^jj+atrb+++=Chinese
Clinical ^jj+atrb+++=Clinical
Trial ^nn++++=Trial
Registry ^nn++++=Registry
( ^zz++++=(ChiCTR)43,
chictr)43 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
Umin ^np+++??+=UMIN
Clinical ^jj+atrb+++=Clinical
Trial ^nn++++=Trial
Registry ^nn++++=Registry
( ^zz++++=(UMIN-CTR)41,
umin ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
ctr)41 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
German ^jj+atrb+++=German
Clinical ^jj+atrb+++=Clinical
Trials ^nns++++=Trials
Register ^vb++++=Register
( ^zz++++=(GermanCTR)51,
germanctr)51 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
australia ^np++++=Australia
and ^cc++++=and
new ^jj+atrb+++=New
zealand ^np++++=Zealand
clinical ^jj+atrb+++=Clinical
trials ^nns++++=Trials
registry37,46 ^np++++=Registry37,46.
. ^zz++++=EXTRAWORD
