With ^in++++=With
respect ^nn++++=respect
to ^in++++=to
denominational ^jj+atrb+++=denominational
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
recognize ^vbi+vprv+++=recognize
that ^tht+vcmp+++=that
an ^at++++=an
ethical ^jj++++=ethical-dialogical
- ^zz++++=EXTRAWORD
dialogical ^nn+++??+=EXTRAWORD
approach ^nn++++=approach
to ^in++++=to
religious ^jj+atrb+++=religious
education ^nn++++=education
( ^zz++++=(RE)
re ^in++++=EXTRAWORD
) ^zz++++=EXTRAWORD
requires ^vbz++++=requires
consideration ^nn++++=consideration
of ^in++++=of
religious ^jj+atrb+++=religious
claims ^nns++++=claims
from ^in++++=from
diverse ^jj+atrb+++=diverse
faith ^nn++++=faith
communities ^nns++++=communities.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition
to ^in++++=to
their ^pp$+pp3+++=their
own ^ap++++=own
Re ^in++++=RE
classes ^nns++++=classes,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
primarily ^rb+down+++=primarily
serve ^vb++++=serve
to ^in++++=to
socialize ^jj+atrb++??+=socialize
students ^nns++++=students
into ^in++++=into
a ^at++++=a
specific ^jj+atrb+++=specific
spiritual ^jj+atrb+++=spiritual
tradition ^nn++++=tradition
as ^in++++=as
described ^nn++++=described
by ^in++++=by
Rorty ^np+++??+=Rorty,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
schools ^nns++++=schools
should ^md+nec+++=should
also ^rb++splt++=also
facilitate ^vb++++=facilitate
opportunities ^nns++++=opportunities
for ^in++++=for
interfaith ^nn+++??+=interfaith
dialogue ^nn++++=dialogue.
. ^zz++++=EXTRAWORD
Since ^cs+sub+++=Since
faith ^nn++++=faith
narratives ^nns++++=narratives
are ^vb+ber+aux++=are
constructed ^vpsv++agls+xvbnx+=constructed
in ^in++++=in
relation ^nn++++=relation
to ^in++++=to
alternative ^jj+atrb+++=alternative
conceptions ^nns++++=conceptions
of ^in++++=of
worldly ^jj+atrb+++=worldly
and ^cc+phrs+++=and
spiritual ^jj+atrb+++=spiritual
realities ^nns++++=realities,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
justification ^nn++++=justification
for ^in++++=for
exempting ^nn+++??+=exempting
religious ^jj+atrb+++=religious
communities ^nns++++=communities
from ^in++++=from
engaging ^nn++++=engaging
with ^in++++=with
differing ^xvbg+++xvbg+=differing
spiritual ^jj+atrb+++=spiritual
claims ^vb++++=claims
to ^to+vcmp+++=to
the ^ati++++=the
same ^ap++++=same
extent ^nn++++=extent
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
engage ^vb++++=engage
with ^in++++=with
scientific ^jj+atrb+++=scientific
frameworks ^nns++++=frameworks
of ^in++++=of
rationality ^nn++++=rationality.
. ^zz++++=EXTRAWORD
Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
students ^nns++++=students
are ^vb+ber+aux++=are
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
critically ^rb++splt++=critically
evaluate ^vbi++++=evaluate
scientific ^jj+atrb+++=scientific
theories ^nns++++=theories
such ^abl++++=such
as ^ql++++=as
those ^dt+dem+++=those
of ^in++++=of
Newton ^nn++++=Newton
and ^cc++++=and
Einstein ^np++++=Einstein,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
should ^md+nec+++=should
also ^rb++++=also
be ^vb+be+aux++=be
encouraged ^vpsv++agls+xvbnx+=encouraged
to ^to+vcmp+++=to
assess ^vbi++++=assess
the ^ati++++=the
validity ^nn++++=validity
of ^in++++=of
various ^jj+atrb+++=various
faith ^nn++++=faith
beliefs ^nns++++=beliefs.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
initial ^jj+atrb+++=initial
engagement ^nn++++=engagement
with ^in++++=with
unfamiliar ^jj+atrb+++=unfamiliar
traditions ^nns++++=traditions
may ^md+pos+++=may
require ^vb+vsua+++=require
a ^at++++=a
suspension ^nn++++=suspension
of ^in++++=of
judgment ^vb++++=judgment
to ^to+vcmp+++=to
understand ^vbi+vprv+tht0++=understand
their ^pp$+pp3+++=their
underlying ^jj+atrb++xvbg+=underlying
rationalities ^nns+++??+=rationalities,
, ^zz++++=EXTRAWORD
increased ^jj+atrb++xvbn+=increased
familiarity ^nn++++=familiarity
may ^md+pos+++=may
enable ^vb++++=enable
students ^nns++++=students
to ^to++++=to
determine ^vbi++++=determine
which ^whp+who+++=which
tradition ^nn++++=tradition
offers ^vbz++++=offers
more ^rbr++++=more
satisfactory ^jj+atrb+++=satisfactory
responses ^nns++++=responses
to ^in++++=to
practical ^jj++++=practical
or ^cc+phrs+++=or
theoretical ^jj++++=theoretical
issues ^vbz++++=issues
identified ^vpsv++agls+xvbn+=identified
through ^in++++=through
introspective ^nn++++=introspective
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
