According ^in+cmpx+++=According
to ^in++++=to
Halliday ^np++++=Halliday
( ^zz++++=(1978,
1978 ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
27 ^cd++++=27),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
language ^nn++++=language
is ^vbz+bez+aux++=is
conceptualized ^vpsv++agls+xvbnx+=conceptualized
as ^in++++=as
" ^zz++++="meaning
meaning ^nvbg+++xvbg+=EXTRAWORD
potential ^jj++++=potential,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
communicative ^nn+++??+=communicative
context ^nn++++=context
influences ^nns++++=influences
the ^ati++++=the
choices ^nns++++=choices
made ^vwbn+++xvbn+=made
by ^in++++=by
speakers ^nns++++=speakers.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
text ^nn++++=text
and ^cc++++=and
context ^nn++++=context
are ^vb+ber+vrb++=are
interdependent ^jj+pred+++=interdependent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
language ^nn++++=language
is ^vbz+bez+aux++=is
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
a ^at++++=a
form ^nn++++=form
of ^in++++=of
social ^jj+atrb+++=social
semiotics ^nns+++??+=semiotics
( ^zz++++=(Halliday,
halliday ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1978 ^cd+date+++=1978).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
framework ^nn++++=framework,
, ^zz++++=EXTRAWORD
semiotic ^nn+++??+=semiotic
resources ^nns++++=resources
are ^vb+ber+aux++=are
defined ^vpsv++agls+xvbnx+=defined
as ^in++++=as
" ^zz++++="systems
systems ^nns++++=EXTRAWORD
of ^in++++=of
meanings ^nns++++=meanings"
" ^zz++++=EXTRAWORD
that ^dt+dem+++=that
collectively ^nn+++??+=collectively
constitute ^vb++++=constitute
the ^ati++++=the
" ^zz++++="reality"
reality ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
given ^jj+atrb++xvbn+=given
culture ^nn++++=culture
( ^zz++++=(Halliday,
halliday ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1978 ^cd+date+++=1978,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
123 ^cd++++=123).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
