Since ^in++++=Since
2018 ^cd++++=2018,
, ^zz++++=EXTRAWORD
breast ^nn++++=breast
cancer ^nn++++=cancer
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
the ^ati++++=the
most ^ql+emph+++=most
prevalent ^jj+atrb+++=prevalent
type ^nn++++=type
of ^in++++=of
cancer ^nn++++=cancer
among ^in++++=among
women ^nns++++=women
worldwide ^nn+++??+=worldwide,
, ^zz++++=EXTRAWORD
accounting ^nvbg+++xvbg+=accounting
for ^in++++=for
over ^in++++=over
24 ^cd++++=24%
% ^zz++++=EXTRAWORD
of ^in++++=of
all ^abn++++=all
cancer ^nn++++=cancer
cases ^nns++++=cases
diagnosed ^vwbn+++xvbn+=diagnosed
in ^in++++=in
the ^ati++++=the
global ^jj+atrb+++=global
female ^jj+atrb+++=female
population ^nn++++=population
that ^tht+rel+++=that
year ^nn++++=year,
, ^zz++++=EXTRAWORD
with ^in++++=with
approximately ^rb+down+++=approximately
2.1 ^cd++++=2.1
million ^cd++++=million
new ^jj+atrb+++=new
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
also ^rb++splt++=also
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
the ^ati++++=the
fifth ^od++++=fifth
leading ^jj+atrb++xvbg+=leading
cause ^nn++++=cause
of ^in++++=of
cancer ^nn++++=cancer-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
mortality ^nn++++=mortality.
. ^zz++++=EXTRAWORD
Current ^jj+atrb+++=Current
evidence ^nn++++=evidence
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
physical ^jj+atrb+++=physical
activity ^nn++++=activity
may ^md+pos+++=may
serve ^vb++++=serve
as ^in++++=as
an ^at++++=an
adjunct ^nn++++=adjunct
therapy ^nn++++=therapy,
, ^zz++++=EXTRAWORD
offering ^vbg+++xvbg+=offering
health ^nn++++=health
benefits ^nns++++=benefits
to ^in++++=to
women ^nns++++=women
undergoing ^vwbg+++xvbg+=undergoing
breast ^nn++++=breast
cancer ^nn++++=cancer
treatment ^nn++++=treatment
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
those ^dt+dem+++=those
in ^in++++=in
the ^ati++++=the
post ^nn++++=post-treatment
- ^zz++++=EXTRAWORD
treatment ^nn++++=EXTRAWORD
phase ^nn++++=phase.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
engagement ^nn++++=engagement
in ^in++++=in
physical ^jj+atrb+++=physical
activity ^nn++++=activity
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
significantly ^rb++splt++=significantly
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
improved ^jj+atrb++xvbn+=improved
outcomes ^nns++++=outcomes
during ^in++++=during
the ^ati++++=the
postoperative ^nn++++=postoperative
stage ^nn++++=stage
in ^in++++=in
this ^dt+dem+++=this
population ^nn++++=population.
. ^zz++++=EXTRAWORD
