Despite ^in++++=Despite
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
different ^jj+atrb+++=different
keywords ^nns+++??+=keywords
and ^cc++++=and
filters ^nns+++??+=filters
in ^in++++=in
the ^ati++++=the
searches ^nns++++=searches
conducted ^vbd+++xvbn+=conducted
on ^in++++=on
the ^ati++++=the
three ^cd++++=three
websites ^nns+++??+=websites,
, ^zz++++=EXTRAWORD
the ^ati++++=the
theses ^nns++++=theses
and ^cc++++=and
dissertations ^nns+++??+=dissertations
retrieved ^vbd+++xvbn+=retrieved
from ^in++++=from
the ^ati++++=the
Bdtd ^np+++??+=BDTD
and ^cc++++=and
the ^ati++++=the
Cat ^nn++++=Cat
logo ^nn+++??+=logo
de ^&fw++++=de
Teses ^np+++??+=Teses
e ^zz++++=e
Disserta ^np+++??+=Disserta
es ^&fw++++=es
da ^np++++=da
Capes ^np+++??+=CAPES
were ^vbd+bed+vrb++=were
nearly ^rb+down+++=nearly
identical ^jj+pred+++=identical.
. ^zz++++=EXTRAWORD
The ^ati++++=The
limited ^jj+atrb++xvbn+=limited
number ^nn++++=number
of ^in++++=of
theses ^nns++++=theses
and ^cc++++=and
dissertations ^nns+++??+=dissertations
available ^jj++++=available
on ^in++++=on
the ^ati++++=the
Dom ^&fw++++=Dom
nio ^nn+++??+=nio
P ^zz++++=P
blico ^nn+++??+=blico
website ^nn+++??+=website
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
indicate ^vbi+vprv+++=indicate
insufficient ^jj+atrb+++=insufficient
data ^nns++++=data
input ^nn++++=input
or ^cc++++=or
updating ^nn++++=updating.
. ^zz++++=EXTRAWORD
