Several ^ap++++=Several
scholars ^nns++++=scholars
have ^vb+hv+aux++=have
examined ^vprf+++xvbnx+=examined
the ^ati++++=the
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
different ^jj+atrb+++=different
modes ^nns++++=modes
contribute ^vb++++=contribute
to ^in++++=to
meaning ^xvbg+++xvbg+=meaning-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
in ^in++++=in
children ^nns++++=children's
's ^$++++=EXTRAWORD
picturebooks ^nns+++??+=picturebooks
( ^zz++++=(Baguley
baguley ^nn+++??+=EXTRAWORD
& ^zz++++=&
Kerby ^np+++??+=Kerby,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021;
; ^zz++++=EXTRAWORD
Mart ^np++++=Mart
nez ^nn+++??+=nez
Lirola ^np+++??+=Lirola,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Moya ^np+++??+=Moya
Guijarro ^np+++??+=Guijarro,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
Moya ^np+++??+=Moya
Guijarro ^np+++??+=Guijarro
& ^zz++++=&
Pinar ^np+++??+=Pinar,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
Moya ^np+++??+=Moya
Guijarro ^np+++??+=Guijarro
& ^zz++++=&
Ruiz ^np+++??+=Ruiz,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Moya ^np+++??+=Moya
Guijarro ^np+++??+=Guijarro
& ^zz++++=&
Ventola ^np+++??+=Ventola,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021;
; ^zz++++=EXTRAWORD
Painter ^nn++++=Painter,
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007;
; ^zz++++=EXTRAWORD
Salisbury ^np++++=Salisbury
& ^zz++++=&
Styles ^nns++++=Styles,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
studies ^nns++++=studies
focus ^nn++++=focus
on ^in++++=on
the ^ati++++=the
distinct ^jj+atrb+++=distinct
roles ^nns++++=roles
that ^tht+rel+++=that
various ^jj+atrb+++=various
modes ^nns++++=modes
play ^nn++++=play
in ^in++++=in
the ^ati++++=the
construction ^nn++++=construction
of ^in++++=of
meaning ^xvbg+++xvbg+=meaning,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
on ^in++++=on
how ^wrb+who+++=how
visual ^jj+atrb+++=visual
elements ^nns++++=elements
can ^md+pos+++=can
complement ^vb++++=complement
or ^cc++++=or
extend ^vb++++=extend
the ^ati++++=the
meaning ^nn++++=meaning
conveyed ^vwbn+++xvbn+=conveyed
by ^in++++=by
the ^ati++++=the
written ^jj+atrb++xvbn+=written
text ^nn++++=text.
. ^zz++++=EXTRAWORD
In ^in++++=In
some ^dti++++=some
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
visual ^jj+atrb+++=visual
elements ^nns++++=elements
are ^vb+ber+vrb++=are
more ^rbr++++=more
prominent ^jj+pred+++=prominent
than ^in++++=than
the ^ati++++=the
written ^jj+atrb++xvbn+=written
text ^nn++++=text,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
in ^in++++=in
others ^aps++++=others,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
an ^at++++=an
equilibrium ^nn++++=equilibrium
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
modes ^nns++++=modes,
, ^zz++++=EXTRAWORD
as ^in++++=as
described ^nn++++=described
by ^in++++=by
K ^zz++++=K
mmerling ^nn+++??+=mmerling-Meibauer
- ^zz++++=EXTRAWORD
meibauer ^nn++++=EXTRAWORD
( ^zz++++=(2018,
2018 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
