As ^in++++=As
reported ^nn++++=reported
in ^in++++=in
previous ^jj+atrb+++=previous
studies ^nns++++=studies
( ^zz++++=(Bruscato
bruscato ^nn+++??+=EXTRAWORD
& ^zz++++=&
Baptista ^np+++??+=Baptista,
, ^zz++++=EXTRAWORD
2022a ^cd++++=2022a,
, ^zz++++=EXTRAWORD
2022b ^cd++++=2022b),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
native ^jj+atrb+++=native
speakers ^nns++++=speakers
of ^in++++=of
English ^nn++++=English
are ^vb+ber+aux++=are
not ^xnot++not++=not
influenced ^vpsv++by+xvbn+=influenced
by ^in++++=by
clause ^nn++++=clause
order ^to++++=order
or ^cc++++=or
anaphor ^jj+atrb++??+=anaphor
salience ^nn++++=salience
and ^cc++++=and
typically ^rb++++=typically
interpret ^vb++++=interpret
the ^ati++++=the
anaphor ^nn+++??+=anaphor
as ^ql++++=as
referring ^jj+++xvbg+=referring
to ^in++++=to
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
the ^ati++++=the
main ^jjb+atrb+++=main
clause ^nn++++=clause.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
learners ^nns++++=learners
do ^vb+do+aux++=do
not ^xnot++not++=not
exhibit ^vb++++=exhibit
a ^at++++=a
consistent ^jj+atrb+++=consistent
interpretive ^jj+atrb+++=interpretive
preference ^nn++++=preference
and ^cc++++=and
generally ^rb+down+++=generally
display ^nn++++=display
uncertainty ^nn++++=uncertainty,
, ^zz++++=EXTRAWORD
with ^in+cmpx+++=with
the ^in"++++=the
exception ^in"++++=exception
of ^in"++++=of
advanced ^jj+atrb++xvbn+=advanced
Brazilian ^jj+atrb+++=Brazilian
learners ^nns++++=learners,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
tend ^vb++++=tend
to ^to+vcmp+++=to
interpret ^vbi++++=interpret
a ^at++++=a
stressed ^jj+atrb++xvbn+=stressed
pronoun ^nn++++=pronoun
in ^in++++=in
the ^ati++++=the
subject ^nn++++=subject
position ^nn++++=position
of ^in++++=of
the ^ati++++=the
subordinate ^jj+atrb+++=subordinate
clause ^nn++++=clause
as ^ql++++=as
referring ^jj+++xvbg+=referring
to ^in++++=to
the ^ati++++=the
complement ^nn++++=complement
of ^in++++=of
the ^ati++++=the
main ^jjb+atrb+++=main
clause ^nn++++=clause,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Portuguese ^jj+atrb+++=Portuguese
learners ^nns++++=learners,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
tend ^vb++++=tend
to ^to+vcmp+++=to
interpret ^vbi++++=interpret
non ^&fw++++=non-emphatic
- ^zz++++=EXTRAWORD
emphatic ^jj+atrb+++=EXTRAWORD
pronominal ^nn+++??+=pronominal
cataphora ^nn+++??+=cataphora
as ^ql++++=as
referring ^vbg+++xvbg+=referring
to ^in++++=to
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
the ^ati++++=the
main ^jjb+atrb+++=main
clause ^nn++++=clause.
. ^zz++++=EXTRAWORD
