As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
Figure ^nn++++=Figure
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
the ^ati++++=the
study ^nn++++=study
population ^nn++++=population
comprised ^vbd+++xvbn+=comprised
164 ^cd++++=164
adolescents ^nns++++=adolescents
with ^in++++=with
a ^at++++=a
mean ^jj+atrb+++=mean
age ^nn++++=age
of ^in++++=of
16.8 ^cd+date+++=16.8
years ^nns++++=years
( ^zz++++=(SD
sd ^nn++++=EXTRAWORD
= ^zz++++==
1.07 ^cd++++=1.07;
; ^zz++++=EXTRAWORD
range ^nn++++=range:
: ^zz++++=EXTRAWORD
15 ^cd++++=15
19 ^cd++++=19
years ^nns++++=years).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Of ^in++++=Of
the ^ati++++=the
participants ^nns++++=participants,
, ^zz++++=EXTRAWORD
53.7 ^cd++++=53.7%
% ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
male ^jj+pred+++=male
and ^cc++++=and
46.3 ^cd++++=46.3%
% ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
female ^nn++++=female.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
year ^nn++++=year
preceding ^vwbg+++xvbg+=preceding
the ^ati++++=the
event ^nn++++=event,
, ^zz++++=EXTRAWORD
28.7 ^cd++++=28.7%
% ^zz++++=EXTRAWORD
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
47 ^cd++++=47)
) ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
previously ^rb+tm+splt++=previously
contracted ^vprf+++xvbnx+=contracted
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
and ^cc++++=and
had ^vb+hv+aux++=had
fully ^rb+amp+splt++=fully
recovered ^vprf+++xvbnx+=recovered
prior ^in+cmpx+++=prior
to ^in++++=to
participation ^nn++++=participation;
; ^zz++++=EXTRAWORD
none ^pn++++=none
of ^in++++=of
these ^dt+dem+++=these
individuals ^nns++++=individuals
developed ^vbd+++xvbn+=developed
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
event ^nn++++=event.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
attendees ^nns+++??+=attendees,
, ^zz++++=EXTRAWORD
43 ^cd++++=43%
% ^zz++++=EXTRAWORD
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
70 ^cd++++=70)
) ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
vaccinated ^nn+++??+=vaccinated,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
57 ^cd++++=57%
% ^zz++++=EXTRAWORD
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
94 ^cd++++=94)
) ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
unvaccinated ^nn+++??+=unvaccinated.
. ^zz++++=EXTRAWORD
A ^at++++=A
total ^nn++++=total
of ^in++++=of
98.8 ^cd++++=98.8%
% ^zz++++=EXTRAWORD
of ^in++++=of
participants ^nns++++=participants
underwent ^nn+++??+=underwent
an ^at++++=an
antigen ^nn++++=antigen
test ^nn++++=test
within ^in++++=within
24 ^cd++++=24
hours ^nns++++=hours
before ^in++++=before
the ^ati++++=the
event ^nn++++=event.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
individuals ^nns++++=individuals
who ^whp+rel+subj++=who
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
complete ^jj+atrb+++=complete
pre ^nn+++??+=pre-event
- ^zz++++=EXTRAWORD
event ^nn++++=EXTRAWORD
testing ^vwbg+++xvbg+=testing
were ^vbd+bed+aux++=were
tested ^vpsv++agls+xvbnx+=tested
after ^in++++=after
the ^ati++++=the
event ^nn++++=event
and ^cc++++=and
both ^abx++++=both
received ^jj+atrb++xvbn+=received
negative ^jj+atrb+++=negative
results ^nns++++=results.
. ^zz++++=EXTRAWORD
The ^ati++++=The
overall ^jjb+atrb+++=overall
incidence ^nn++++=incidence
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
study ^nn++++=study
population ^nn++++=population
was ^vbd+bedz+vrb++=was
25 ^cd++++=25%
% ^zz++++=EXTRAWORD
( ^zz++++=(95%
