Based ^xvbn+++xvbn+=Based
on ^in++++=on
Table ^nn++++=Table
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dispersion ^nn++++=dispersion,
, ^zz++++=EXTRAWORD
as ^in++++=as
measured ^nn++++=measured
by ^in++++=by
the ^ati++++=the
coefficient ^nn++++=coefficient
of ^in++++=of
variation ^nn++++=variation
of ^in++++=of
the ^ati++++=the
adjusted ^jj+atrb++xvbn+=adjusted
mortality ^nn++++=mortality
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
greater ^jjr+pred+++=greater
than ^cs+sub+++=than
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
crude ^jj+atrb+++=crude
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
crude ^jj+atrb+++=crude
rates ^nns++++=rates
tend ^vb++++=tend
to ^to+vcmp+++=to
converge ^vbi+++??+=converge
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
offsetting ^nn+++??+=offsetting
effects ^nns++++=effects
of ^in++++=of
different ^jj+atrb+++=different
underlying ^jj+atrb++xvbg+=underlying
factors ^nns++++=factors;
; ^zz++++=EXTRAWORD
specifically ^rb+cnj+++=specifically,
, ^zz++++=EXTRAWORD
higher ^jjr+atrb+++=higher
mortality ^nn++++=mortality
within ^in++++=within
certain ^jj+atrb+++=certain
age ^nn++++=age
groups ^nns++++=groups
in ^in++++=in
some ^dti++++=some
countries ^nns++++=countries
is ^vbz+bez+vrb++=is
counterbalanced ^nn+++??+=counterbalanced
by ^in++++=by
a ^at++++=a
younger ^jjr+atrb+++=younger
population ^nn++++=population
structure ^nn++++=structure
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
less ^rbr++++=less
susceptible ^jj+pred+++=susceptible
to ^in++++=to
severe ^jj+atrb+++=severe
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition
to ^in++++=to
the ^ati++++=the
disparities ^nn++++=disparities
observed ^vbd+vprv++xvbn+=observed
between ^in++++=between
the ^ati++++=the
three ^cd++++=three
groups ^nns++++=groups
of ^in++++=of
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
also ^rb++++=also
significant ^jj+atrb+++=significant
internal ^jj+atrb+++=internal
disparity ^nn+++??+=disparity
within ^in++++=within
these ^dt+dem+++=these
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
the ^ati++++=the
adjusted ^jj+atrb++xvbn+=adjusted
mortality ^nn++++=mortality
rate ^nn++++=rate
in ^in++++=in
Mexico ^np++++=Mexico
is ^vbz+bez+vrb++=is
89 ^cd++++=89%
% ^zz++++=EXTRAWORD
higher ^jjr++++=higher
than ^cs+sub+++=than
in ^in++++=in
Chile ^np+++??+=Chile,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
in ^in++++=in
England ^np++++=England
and ^cc++++=and
wales ^np++++=Wales
it ^pp3+it+++=it
exceeds ^vbz++++=exceeds
that ^cs+sub+++=that
of ^in++++=of
germany ^np++++=Germany
by ^in++++=by
223 ^cd++++=223%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
