All ^abn++++=All
individuals ^nns++++=individuals
invited ^vwbn+++xvbn+=invited
to ^in++++=to
the ^ati++++=the
event ^nn++++=event
completed ^vbd+++xvbn+=completed
the ^ati++++=the
questionnaire ^nn++++=questionnaire
( ^zz++++=(N
n ^zz++++=EXTRAWORD
= ^zz++++==
199 ^cd++++=199).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Of ^in++++=Of
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
35 ^cd++++=35
were ^vbd+bed+aux++=were
excluded ^vpsv++agls+xvbnx+=excluded
from ^in++++=from
the ^ati++++=the
study ^nn++++=study:
: ^zz++++=EXTRAWORD
six ^cd++++=six
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
lack ^vb++++=lack
of ^in++++=of
parental ^jj+atrb+++=parental
consent ^nn++++=consent
and ^cc++++=and
29 ^cd++++=29
due ^jj++++=due
to ^to+jcmp+++=to
non ^&fw++++=non-attendance
- ^zz++++=EXTRAWORD
attendance ^nn++++=EXTRAWORD
at ^in++++=at
the ^ati++++=the
event ^nn++++=event.
. ^zz++++=EXTRAWORD
