Hospitalization ^np+++??+=Hospitalization
data ^nns++++=data
for ^in++++=for
Severe ^jj+atrb+++=Severe
Acute ^jj+atrb+++=Acute
Respiratory ^jj+atrb+++=Respiratory
Syndrome ^np+++??+=Syndrome
( ^zz++++=(SARS)
sars ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
from ^in++++=from
the ^ati++++=the
Sivep ^np+++??+=SIVEP-Gripe
- ^zz++++=EXTRAWORD
gripe ^nn+++??+=EXTRAWORD
database ^nn+++??+=database,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
publicly ^rb++++=publicly
available ^jj+pred+++=available
at ^rb++++=at
https ^nns+++??+=https://dados.gov.br/dataset/bd-srag-2020;
: ^zz++++=EXTRAWORD
ethical ^jj+atrb+++=ethical
committee ^nn++++=committee
approval ^nn++++=approval
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
required ^vbd+++xvbn+=required
for ^in++++=for
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
this ^dt+dem+++=this
open ^jj++++=open-access
- ^zz++++=EXTRAWORD
access ^nn++++=EXTRAWORD
dataset ^nn+++??+=dataset.
. ^zz++++=EXTRAWORD
Classification ^nn++++=Classification
of ^in++++=of
healthcare ^nn+++??+=healthcare
services ^nns++++=services
as ^ql++++=as
public ^jj++++=public
or ^cc+phrs+++=or
private ^jj++++=private
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
using ^vbg+++xvbg+=using
information ^nn++++=information
from ^in++++=from
the ^ati++++=the
cnes ^np++++=CNES
database ^nn++++=database,
, ^zz++++=EXTRAWORD
accessible ^jj++++=accessible
at ^rb++++=at
http ^nn++++=http://tabnet.fiocruz.br/dash/menu_dash.htm.
: ^zz++++=EXTRAWORD
