Studies ^nns++++=Studies
have ^vb+hv+aux++=have
documented ^vprf+++xvbnx+=documented
the ^ati++++=the
environmental ^nn++++=environmental
impacts ^vbz+++??+=impacts
associated ^vbd+++xvbn+=associated
with ^in++++=with
tourism ^nn+++??+=tourism
in ^in++++=in
rivers ^nns++++=rivers
located ^vwbn+++xvbn+=located
within ^in++++=within
protected ^xvbn+++xvbn+=protected
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Formoso ^np+++??+=Formoso
River ^nn++++=River
in ^in++++=in
the ^ati++++=the
Formoso ^np+++??+=Formoso
River ^nn++++=River
Ecological ^np+++??+=Ecological
Park ^nn++++=Park
in ^in++++=in
Bonito ^np+++??+=Bonito
and ^cc++++=and
the ^ati++++=the
Prata ^np+++??+=Prata
River ^nn++++=River
in ^in++++=in
the ^ati++++=the
Private ^jj+atrb+++=Private
Reserve ^nn++++=Reserve
of ^in++++=of
Natural ^jj+atrb+++=Natural
Heritage ^nn++++=Heritage
( ^zz++++=(RPPN)
rppn ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Fazenda ^np+++??+=Fazenda
Cabeceira ^np+++??+=Cabeceira
do ^vb+do+vrb++=do
Prata ^np+++??+=Prata
( ^zz++++=(Escarpinati
escarpinati ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
Coelho ^np+++??+=Coelho
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
rivers ^nns++++=rivers
are ^vb+ber+aux++=are
situated ^vpsv++agls+xvbnx+=situated
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Mato ^np+++??+=Mato
Grosso ^np+++??+=Grosso
do ^vb+do+vrb++=do
Sul ^np+++??+=Sul
( ^zz++++=(MS),
ms ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
central ^jj++++=central-west
- ^zz++++=EXTRAWORD
west ^np+pl+++=EXTRAWORD
region ^nn++++=region
of ^in++++=of
Brazil ^np++++=Brazil,
 ^zz++++=EXTRAWORD
And ^cc+cls+++=and
Are ^vb+ber+aux++=are
Recognized ^vpsv++agls+xvbn+=recognized
As ^ql++++=as
Significant ^jj+atrb+++=significant
Tourist ^nn++++=tourist
Destinations ^nns++++=destinations.
 ^zz++++=EXTRAWORD
