Current ^jj+atrb+++=Current
protocols ^nns++++=protocols
commonly ^rb++++=commonly
involve ^vb++++=involve
home ^nr++++=home-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
exercise ^nn++++=exercise
interventions ^nns++++=interventions
utilizing ^jj+atrb++??+=utilizing
electronic ^jj+atrb+++=electronic
devices ^nns++++=devices,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
activity ^nn++++=activity-monitoring
- ^zz++++=EXTRAWORD
monitoring ^xvbg+++xvbg+=EXTRAWORD
watches ^vbz++++=watches,
, ^zz++++=EXTRAWORD
internet ^nn+++??+=internet-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
software ^nn+++??+=software,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
smartphone ^nn+++??+=smartphone
applications ^nns++++=applications.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
approaches ^nns++++=approaches
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
promoted ^vpsv++agls+xvbnx+=promoted
for ^in++++=for
their ^pp$+pp3+++=their
potential ^nn++++=potential
to ^to+ncmp+++=to
improve ^vbi++++=improve
quality ^nn++++=quality
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic
and ^cc++++=and
the ^ati++++=the
widespread ^jj+atrb+++=widespread
shift ^nn++++=shift
to ^in++++=to
remote ^jj+atrb+++=remote
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
including ^in++++=including
that ^dt+dem+++=that
by ^in++++=by
Dong ^np+++??+=Dong
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
that ^tht+vcmp+++=that
interventions ^nns++++=interventions
combining ^vwbg+++xvbg+=combining
exercise ^nn++++=exercise
with ^in++++=with
internet ^nn+++??+=internet-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
software ^nn+++??+=software
can ^md+pos+++=can
yield ^vb++++=yield
positive ^jj+atrb+++=positive
effects ^nns++++=effects
on ^in++++=on
muscle ^nn++++=muscle
strength ^nn++++=strength
and ^cc++++=and
quality ^nn++++=quality
of ^in++++=of
life ^nn++++=life
in ^in++++=in
patients ^nns++++=patients
during ^in++++=during
the ^ati++++=the
postoperative ^nn+++??+=postoperative
period ^nn++++=period
following ^vwbg+++xvbg+=following
breast ^nn++++=breast
cancer ^nn++++=cancer
treatment ^nn++++=treatment.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
Galiano ^np+++??+=Galiano-Castillo
- ^zz++++=EXTRAWORD
castillo ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
reported ^nn+++xvbn+=reported
that ^tht+ncmp+++=that
a ^at++++=a
physical ^jj+atrb+++=physical
exercise ^nn++++=exercise
program ^nn+++??+=program
delivered ^vwbn+++xvbn+=delivered
via ^in++++=via
internet ^nn+++??+=internet
software ^nn+++??+=software
improved ^vbd+++xvbn+=improved
and ^cc+phrs+++=and
maintained ^vbd+vpub++xvbn+=maintained
quality ^nn++++=quality
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
reduced ^xvbn+++xvbn+=reduced
pain ^nn++++=pain
and ^cc++++=and
fatigue ^nn++++=fatigue,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
enhanced ^jj+atrb++xvbn+=enhanced
muscle ^nn++++=muscle
strength ^nn++++=strength,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
improving ^vbg+++xvbg+=improving
daily ^jj+atrb+++=daily
functional ^jj+atrb+++=functional
abilities ^nns++++=abilities
in ^in++++=in
breast ^nn++++=breast
cancer ^nn++++=cancer
patients ^nns++++=patients.
. ^zz++++=EXTRAWORD
The ^ati++++=The
use ^nn++++=use
of ^in++++=of
online ^nn+++??+=online
tools ^nns++++=tools
and ^cc++++=and
home ^nr++++=home-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
interventions ^nns++++=interventions
may ^md+pos+++=may
offer ^vb++++=offer
practical ^jj+atrb+++=practical
alternatives ^nns++++=alternatives
for ^in++++=for
both ^abx++++=both
researchers ^nns+++??+=researchers
and ^cc++++=and
participants ^nns++++=participants
by ^in++++=by
enabling ^xvbg+++xvbg+=enabling
broader ^jjr+atrb+++=broader
recruitment ^nn++++=recruitment
and ^cc++++=and
participation ^nn++++=participation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
increased ^jj+atrb++xvbn+=increased
reliance ^nn++++=reliance
on ^in++++=on
digital ^jj+atrb+++=digital
tools ^nns++++=tools
during ^in++++=during
periods ^nns++++=periods
of ^in++++=of
recommended ^vwbn+vsua++xvbn+=recommended
home ^nr++++=home
confinement ^nn++++=confinement
has ^vbz+hvz+aux++=has
highlighted ^vprf+++xvbnx+=highlighted
the ^ati++++=the
potential ^nn++++=potential
of ^in++++=of
these ^dt+dem+++=these
methods ^nns++++=methods
for ^in++++=for
wider ^jjr+atrb+++=wider
application ^nn++++=application.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
challenges ^vbz++++=challenges
such ^abl++++=such
as ^ql++++=as
software ^vb+++??+=software
limitations ^nns++++=limitations,
, ^zz++++=EXTRAWORD
lack ^nn++++=lack
of ^in++++=of
user ^nn++++=user
proficiency ^nn++++=proficiency,
, ^zz++++=EXTRAWORD
internet ^nn+++??+=internet
access ^nn++++=access
issues ^nns++++=issues,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
possible ^jj+atrb+++=possible
participant ^nn++++=participant
disengagement ^nn+++??+=disengagement
may ^md+pos+++=may
restrict ^vb++++=restrict
their ^pp$+pp3+++=their
effectiveness ^nn++++=effectiveness.
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
these ^dt+dem+++=these
limitations ^nns++++=limitations,
, ^zz++++=EXTRAWORD
digital ^jj+atrb+++=digital
strategies ^nns+++??+=strategies
can ^md+pos+++=can
facilitate ^vb++++=facilitate
behavior ^nn++++=behavior
change ^nn++++=change
and ^cc++++=and
enhance ^vb++++=enhance
communication ^nn++++=communication
and ^cc++++=and
engagement ^nn++++=engagement
between ^in++++=between
researchers ^nns++++=researchers
and ^cc++++=and
participants ^nns++++=participants.
. ^zz++++=EXTRAWORD
