As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
the ^ati++++=the
table ^nn++++=table
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
staff ^nn++++=staff
turnover ^nn++++=turnover
persisted ^vbd+++xvbn+=persisted
during ^in++++=during
the ^ati++++=the
Bolsonaro ^np+++??+=Bolsonaro
administration ^nn++++=administration,
, ^zz++++=EXTRAWORD
with ^in++++=with
only ^rb+down+++=only
30.97 ^cd++++=30.97%
% ^zz++++=EXTRAWORD
of ^in++++=of
respondents ^nns++++=respondents
indicating ^vb+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
remained ^vbd+++xvbnx+=remained
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
position ^nn++++=position
and ^cc++++=and
institution ^nn++++=institution
since ^in++++=since
the ^ati++++=the
2018 ^cd++++=2018
elections ^nns++++=elections.
. ^zz++++=EXTRAWORD
Exit ^nn++++=Exit
from ^in++++=from
previous ^jj+atrb+++=previous
roles ^nns++++=roles
occurred ^vbd+++xvbn+=occurred
in ^in++++=in
various ^jj+atrb+++=various
forms ^nns++++=forms:
: ^zz++++=EXTRAWORD
some ^dti++++=some
individuals ^nns++++=individuals
transferred ^vwbn+++xvbn+=transferred
to ^in++++=to
different ^jj+atrb+++=different
departments ^nns++++=departments,
, ^zz++++=EXTRAWORD
as ^ql++++=as
certain ^jj+atrb+++=certain
career ^nn++++=career
paths ^nns++++=paths
limit ^nn++++=limit
movement ^nn++++=movement
between ^in++++=between
institutions ^nns++++=institutions;
; ^zz++++=EXTRAWORD
others ^aps++++=others
took ^vbd+++xvbn+=took
temporary ^jj+atrb+++=temporary
leave ^nn++++=leave
for ^in++++=for
educational ^jj+atrb+++=educational
purposes ^nns++++=purposes.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
some ^dti++++=some
respondents ^nns++++=respondents
requested ^vbd+vsua++xvbn+=requested
transfers ^nns++++=transfers
to ^in++++=to
different ^jj+atrb+++=different
agencies ^nns++++=agencies
or ^cc++++=or
cities ^nns++++=cities,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
a ^at++++=a
small ^jj+atrb+++=small
number ^nn++++=number
sought ^vbd+++xvbn+=sought
unpaid ^jj+atrb+++=unpaid
leave ^nn++++=leave
to ^in++++=to
work ^nn++++=work
outside ^jjb++++=outside
the ^ati++++=the
public ^jj+atrb+++=public
sector ^nn++++=sector
or ^cc++++=or
in ^in++++=in
another ^dt++++=another
country ^nn++++=country.
. ^zz++++=EXTRAWORD
