At ^rb++++=At
times ^nns++++=times,
, ^zz++++=EXTRAWORD
the ^ati++++=the
written ^jj+atrb++xvbn+=written
text ^nn++++=text
precedes ^vbz++++=precedes
the ^ati++++=the
visual ^jj+atrb+++=visual
depiction ^nn++++=depiction
of ^in++++=of
the ^ati++++=the
corresponding ^jj+atrb++xvbg+=corresponding
action ^nn++++=action,
, ^zz++++=EXTRAWORD
as ^in++++=as
observed ^nn++++=observed
on ^in++++=on
page ^nn++++=page
10 ^cd++++=10,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
text ^nn++++=text
is ^vbz+bez+aux++=is
positioned ^vpsv++agls+xvbnx+=positioned
on ^in++++=on
the ^ati++++=the
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
foreground ^nn++++=foreground,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inscribed ^vpsv++agls+xvbn+=inscribed
on ^in++++=on
the ^ati++++=the
white ^jj+atrb+++=white
pavement ^nn++++=pavement
to ^to++++=to
ensure ^vbi+vprv+++=ensure
legibility ^nn+++??+=legibility:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
like ^vb++++=like
to ^to+vcmp+++=to
help ^vbi++++=help
to ^to+vcmp+++=to
wash ^vbi++++=wash
the ^ati++++=the
car ^nn++++=car,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
it ^pp3+it+++=it
sparkles ^nns+++??+=sparkles
like ^in++++=like
a ^at++++=a
star ^nn++++=star.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
squeeze ^vb++++=squeeze
the ^ati++++=the
sponge ^nn++++=sponge
to ^to++++=to
make ^vbi++++=make
some ^dti++++=some
bubbles ^nns++++=bubbles,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=And
splash ^vb++++=splash
around ^rb++++=around
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
puddles ^nns++++=puddles.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
m ^zz++++=m
feeling ^vwbg+++xvbg+=feeling
really ^rb+emph+++=really
cheeky ^jj+atrb+++=cheeky,
, ^zz++++=EXTRAWORD
Super ^jj+atrb+++=Super
quiet ^nn++++=quiet
and ^cc++++=and
extra ^jj+atrb+++=extra
sneaky ^nn+++??+=sneaky
I ^pp1a+pp1+++=I
spray ^nn++++=spray
my ^pp$+pp1+++=my
Daddy ^npt++++=Daddy
with ^in++++=with
the ^ati++++=the
hose ^nn++++=hose,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
