Studies ^nns++++=Studies
have ^vb+hv+aux++=have
also ^rb++splt++=also
demonstrated ^vprf+++xvbnx+=demonstrated
that ^tht+vcmp+++=that
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
Valeriana ^np+++??+=Valeriana
officinalis ^nns+++??+=officinalis
extracts ^nns++++=extracts
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
result ^nn++++=result
in ^in++++=in
side ^nn++++=side
effects ^nns++++=effects
such ^abl++++=such
as ^ql++++=as
dizziness ^nns+++??+=dizziness,
, ^zz++++=EXTRAWORD
gastrointestinal ^nn+++??+=gastrointestinal
disturbances ^nns++++=disturbances,
, ^zz++++=EXTRAWORD
allergic ^jj+atrb+++=allergic
reactions ^nns++++=reactions,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
paradoxical ^jj+atrb+++=paradoxical
effects ^nns++++=effects
( ^zz++++=(Pinheiro
pinheiro ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
Yao ^np+++??+=Yao
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2007)
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
the ^ati++++=the
ethanolic ^nn+++??+=ethanolic
extract ^nn++++=extract
of ^in++++=of
V ^zz++++=V.
. ^zz++++=EXTRAWORD
officinalis ^vbz+++??+=officinalis
did ^vbd+dod+aux++=did
not ^xnot++not++=not
produce ^vb++++=produce
adverse ^jj+atrb+++=adverse
effects ^nns++++=effects
on ^in++++=on
embryonic ^nn++++=embryonic
development ^nn++++=development
or ^cc++++=or
fertility ^nn++++=fertility
in ^in++++=in
rodents ^nns++++=rodents.
. ^zz++++=EXTRAWORD
