Sociodemographic ^np+++??+=Sociodemographic
and ^cc++++=and
economic ^jj+atrb+++=economic
variables ^nns++++=variables
included ^vbd+++xvbn+=included
race ^nn++++=race/ethnicity,
marital ^jj+atrb+++=marital
status ^nn++++=status,
, ^zz++++=EXTRAWORD
relationship ^nn++++=relationship
to ^in++++=to
the ^ati++++=the
household ^nn++++=household,
, ^zz++++=EXTRAWORD
educational ^jj+atrb+++=educational
attainment ^nn++++=attainment,
, ^zz++++=EXTRAWORD
occupation ^nn++++=occupation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
family ^nn++++=family
income ^nn++++=income
assessed ^xvbn+++xvbn+=assessed
both ^abx++++=both
prior ^rb++++=prior
to ^to++++=to
and ^cc++++=and
during ^in++++=during
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
