Regarding ^in++++=Regarding
teaching ^xvbg+++xvbg+=teaching
presence ^nn++++=presence,
, ^zz++++=EXTRAWORD
female ^nn++++=female
participants ^nns++++=participants
( ^zz++++=(M
m ^zz++++=EXTRAWORD
= ^zz++++==
0.13 ^nn+++??+=0.13,
, ^zz++++=EXTRAWORD
Sd ^np+++??+=SD
= ^zz++++==
0.34 ^nn+++??+=0.34)
) ^zz++++=EXTRAWORD
used ^xvbn+++xvbn+=used
emojis ^nns+++??+=emojis
to ^to++++=to
represent ^vbi++++=represent
teaching ^vbg+vsua++xvbg+=teaching
presence ^nn++++=presence
significantly ^rb++++=significantly
more ^rbr++++=more
frequently ^rb++++=frequently
than ^in++++=than
male ^jj+atrb+++=male
participants ^nns++++=participants,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
use ^nn++++=use
them ^pp3o+pp3+++=them
at ^in++++=at
all ^abn++++=all
( ^zz++++=(M
m ^zz++++=EXTRAWORD
= ^zz++++==
0.00 ^nn+++??+=0.00,
, ^zz++++=EXTRAWORD
Sd ^np+++??+=SD
= ^zz++++==
0.00 ^nn+++??+=0.00),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
t(38 ^nn+++??+=t(38)
) ^zz++++=EXTRAWORD
= ^zz++++==
2.36 ^cd++++=2.36,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
. ^zz++++=.02.
02 ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
social ^jj+atrb+++=social
presence ^nn++++=presence,
, ^zz++++=EXTRAWORD
female ^nn++++=female
participants ^nns++++=participants
( ^zz++++=(M
m ^zz++++=EXTRAWORD
= ^zz++++==
12.97 ^cd++++=12.97,
, ^zz++++=EXTRAWORD
Sd ^np+++??+=SD
= ^zz++++==
19.84 ^cd++++=19.84)
) ^zz++++=EXTRAWORD
used ^xvbn+++xvbn+=used
emojis ^nns+++??+=emojis
to ^to++++=to
represent ^vbi++++=represent
social ^jj+atrb+++=social
presence ^nn++++=presence
slightly ^rb+down+++=slightly
more ^ql++++=more
than ^cs+sub+++=than
male ^jj+atrb+++=male
participants ^nns++++=participants
( ^zz++++=(M
m ^zz++++=EXTRAWORD
= ^zz++++==
9.67 ^cd++++=9.67,
, ^zz++++=EXTRAWORD
Sd ^np+++??+=SD
= ^zz++++==
9.87 ^cd++++=9.87);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
difference ^nn++++=difference
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
statistically ^rb++++=statistically
significant ^jj++++=significant,
, ^zz++++=EXTRAWORD
t(58 ^nn+++??+=t(58)
) ^zz++++=EXTRAWORD
= ^zz++++==
0.72 ^nn+++??+=0.72,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
. ^zz++++=.48.
48 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
terms ^nns++++=terms
of ^in++++=of
total ^jj+atrb+++=total
presence ^nn++++=presence,
, ^zz++++=EXTRAWORD
female ^nn++++=female
participants ^nns++++=participants
( ^zz++++=(M
m ^zz++++=EXTRAWORD
= ^zz++++==
7.74 ^cd++++=7.74,
, ^zz++++=EXTRAWORD
Sd ^np+++??+=SD
= ^zz++++==
11.27 ^cd++++=11.27)
) ^zz++++=EXTRAWORD
also ^rb++++=also
used ^xvbn+++xvbn+=used
emojis ^nns+++??+=emojis
slightly ^rb+down+++=slightly
more ^ql++++=more
than ^cs+sub+++=than
male ^jj+atrb+++=male
participants ^nns++++=participants
( ^zz++++=(M
m ^zz++++=EXTRAWORD
= ^zz++++==
5.89 ^cd++++=5.89,
, ^zz++++=EXTRAWORD
Sd ^np+++??+=SD
= ^zz++++==
6.02 ^cd++++=6.02),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+dem+++=this
difference ^nn++++=difference
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
statistically ^rb++++=statistically
significant ^jj++++=significant,
, ^zz++++=EXTRAWORD
t(58 ^nn++++=t(58)
) ^zz++++=EXTRAWORD
= ^zz++++==
0.70 ^nn++++=0.70,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
. ^zz++++=.49.
49 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
