To ^in++++=To
further ^jjb++++=further
assess ^vb++++=assess
the ^ati++++=the
reliability ^nn++++=reliability
of ^in++++=of
the ^ati++++=the
portal ^nn++++=portal,
, ^zz++++=EXTRAWORD
a ^at++++=a
search ^nn++++=search
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
on ^in++++=on
Google.com ^np+++??+=Google.com
using ^vwbg+++xvbg+=using
the ^ati++++=the
terms ^nns++++=terms
disserta ^nn+++??+=disserta
o ^zz++++=o,
, ^zz++++=EXTRAWORD
mestrado ^nn+++??+=mestrado,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tradu ^nn+++??+=tradu
o ^zz++++=o
m ^zz++++=m
dica ^nn+++??+=dica
( ^zz++++=(thesis,
thesis ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
master ^npt++++=master
s ^zz++++=s,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
medical ^jj+atrb+++=medical
translation ^nn++++=translation,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
search ^nn++++=search
yielded ^vbd+++xvbn+=yielded
approximately ^rb+down+++=approximately
1,910,000 ^cd++++=1,910,000
results ^nns++++=results
for ^in++++=for
master ^nn++++=master's
's ^$++++=EXTRAWORD
theses ^nns++++=theses
and ^cc++++=and
1,080,000 ^cd++++=1,080,000
for ^in++++=for
doctoral ^nn+++??+=doctoral
dissertations ^nns+++??+=dissertations.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
results ^nns++++=results
that ^tht+ncmp+subj++=that
met ^vprf+++xvbn+=met
the ^ati++++=the
established ^jj+atrb++xvbn+=established
selection ^nn++++=selection
criteria ^nns++++=criteria
but ^cc++++=but
were ^vbd+bed+aux++=were
not ^xnot++not++=not
identified ^vbd+++xvbn+=identified
in ^in++++=in
the ^ati++++=the
initial ^jj+atrb+++=initial
search ^nn++++=search
on ^in++++=on
www.dominiopublico.gov.br ^nn+++??+=www.dominiopublico.gov.br
were ^vbd+bed+aux++=were
noted ^vpsv++agls+xvbnx+=noted
and ^cc++++=and
subsequently ^rb+tm+++=subsequently
re ^in++++=re-examined
- ^zz++++=EXTRAWORD
examined ^vbd+++xvbn+=EXTRAWORD
on ^in++++=on
the ^ati++++=the
Dom ^&fw++++=Dom
nio ^nn+++??+=nio
P ^zz++++=P
blico ^nn+++??+=blico
website ^nn+++??+=website.
. ^zz++++=EXTRAWORD
The ^ati++++=The
re ^in++++=re-examination
- ^zz++++=EXTRAWORD
examination ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
limited ^vpsv++agls+xvbnx+=limited
to ^in++++=to
results ^nns++++=results
appearing ^vwbg+seem++xvbg+=appearing
on ^in++++=on
the ^ati++++=the
first ^rb++++=first
two ^cd++++=two
pages ^nns++++=pages
of ^in++++=of
the ^ati++++=the
Google ^np+++??+=Google
search ^nn++++=search,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
comprehensive ^jj+atrb+++=comprehensive
review ^nn++++=review
of ^in++++=of
all ^rb++++=all
eligible ^jj+atrb+++=eligible
results ^nns++++=results
not ^xnot++not++=not
found ^vbd+vprv++xvbn+=found
in ^in++++=in
the ^ati++++=the
initial ^jj++++=initial
Dom ^&fw++++=Dom
nio ^nn+++??+=nio
P ^zz++++=P
blico ^nn+++??+=blico
search ^nn++++=search
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
excessively ^rb++++=excessively
time ^nn++++=time-consuming.
- ^zz++++=EXTRAWORD
consuming ^vbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
process ^nn++++=process
revealed ^vbd+vprv++xvbn+=revealed
master ^npt++++=master
s ^zz++++=s
theses ^nns++++=theses
and ^cc++++=and
doctoral ^nn+++??+=doctoral
dissertations ^nns+++??+=dissertations
completed ^vbd+++xvbn+=completed
within ^in++++=within
the ^ati++++=the
study ^nn++++=study
s ^zz++++=s
designated ^vbd+++xvbn+=designated
timeframe ^nn+++??+=timeframe
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
catalogued ^nn+++??+=catalogued
on ^in++++=on
the ^ati++++=the
Dom ^&fw++++=Dom
nio ^nn+++??+=nio
P ^zz++++=P
blico ^nn+++??+=blico
website ^nn+++??+=website.
. ^zz++++=EXTRAWORD
The ^ati++++=The
identification ^nn++++=identification
of ^in++++=of
these ^dt+dem+++=these
discrepancies ^nns++++=discrepancies
prompted ^vbd+++xvbn+=prompted
an ^at++++=an
expansion ^nn++++=expansion
of ^in++++=of
the ^ati++++=the
methodology ^nn++++=methodology
proposed ^vwbn+++xvbn+=proposed
by ^in++++=by
Alves ^np+++??+=Alves
and ^cc++++=and
Vasconcellos ^np+++??+=Vasconcellos
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
previously ^rb+tm+splt++=previously
involved ^vbd+++xvbn+=involved
entering ^vbg+++xvbg+=entering
keywords ^nns++++=keywords
exclusively ^rb++++=exclusively
on ^in++++=on
www.dominiopublico.gov.br ^nn++++=www.dominiopublico.gov.br.
. ^zz++++=EXTRAWORD
