Within ^in++++=Within
the ^ati++++=the
scope ^nn++++=scope
of ^in++++=of
ecological ^nn+++??+=ecological
indices ^nns++++=indices,
, ^zz++++=EXTRAWORD
the ^ati++++=the
biological ^jj+atrb+++=biological
diversity ^nn++++=diversity
observed ^vbd+++xvbn+=observed
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
was ^vbd+bedz+vrb++=was
high ^jj++++=high
compared ^jj+++xvbn+=compared
to ^in++++=to
values ^nns++++=values
reported ^vbd+vpub++xvbn+=reported
in ^in++++=in
areas ^nns++++=areas
affected ^vwbn+++xvbn+=affected
by ^in++++=by
anthropogenic ^nn+++??+=anthropogenic
activities ^nns++++=activities.
. ^zz++++=EXTRAWORD
In ^in++++=In
such ^abl++++=such
impacted ^nn+++??+=impacted
regions ^nns++++=regions,
, ^zz++++=EXTRAWORD
Diptera ^np+++??+=Diptera
and ^cc++++=and
Oligochaeta ^np+++??+=Oligochaeta,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
highly ^rb+amp+++=highly
tolerant ^jj+pred+++=tolerant
to ^in++++=to
contaminants ^nns++++=contaminants,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
typically ^rb++++=typically
the ^ati++++=the
most ^ql+emph+++=most
prevalent ^jj+atrb+++=prevalent
taxa ^nn+++??+=taxa
( ^zz++++=(Beghelli
beghelli ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
Taniwaki ^np+++??+=Taniwaki
& ^zz++++=&
Smith ^np++++=Smith,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Shannon ^np+++??+=Shannon
diversity ^nn++++=diversity
index ^nn++++=index
values ^nns++++=values
recorded ^vbd+++xvbn+=recorded
at ^rb++++=at
the ^ati++++=the
three ^cd++++=three
sampling ^nn++++=sampling
sites ^nns++++=sites
were ^vbd+bed+vrb++=were
similar ^jj+pred+++=similar
to ^in++++=to
those ^dt+dem+++=those
reported ^vpsv++by+xvbn+=reported
by ^in++++=by
Rosa ^np++++=Rosa
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2011)
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
Po ^np++++=Po
o ^zz++++=o
D ^zz++++=D'Anta
'anta ^nn+++??+=EXTRAWORD
Biological ^jj+atrb+++=Biological
Reserve ^nn++++=Reserve
in ^in++++=in
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
species ^nns++++=species
richness ^nn++++=richness
was ^vbd+bedz+vrb++=was
lower ^jjr+pred+++=lower
than ^cs+sub+++=than
that ^dt+pdem+++=that
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
muddy ^jj+atrb+++=muddy
sediments ^nns+++??+=sediments.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
can ^md+pos+++=can
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
the ^ati++++=the
hydrological ^nn+++??+=hydrological
regime ^nn++++=regime
of ^in++++=of
the ^ati++++=the
Itingu ^np+++??+=Itingu
u ^zz++++=u
River ^npl++++=River
and ^cc++++=and
the ^ati++++=the
sediment ^nn+++??+=sediment
texture ^nn++++=texture,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
less ^ql++++=less
favorable ^&fw++++=favorable
for ^in++++=for
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
macrobenthic ^nn+++??+=macrobenthic
communities ^nns++++=communities
compared ^vbd+++xvbn+=compared
to ^in++++=to
environments ^nns++++=environments
with ^in++++=with
fine ^jj+atrb+++=fine
sand ^nn++++=sand
or ^cc++++=or
muddy ^jj+atrb+++=muddy
sediments ^nns+++??+=sediments
and ^cc++++=and
more ^rbr++++=more
stable ^jj+atrb+++=stable
conditions ^nns++++=conditions
( ^zz++++=(Hynes,
hynes ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1970 ^cd+date+++=1970;
; ^zz++++=EXTRAWORD
Rosa ^np++++=Rosa
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
high ^jj+atrb+++=high
equitability ^nn+++??+=equitability
values ^nns++++=values
suggest ^vb+vpub+++=suggest
good ^jj+atrb+++=good
water ^nn++++=water
quality ^nn++++=quality,
, ^zz++++=EXTRAWORD
as ^ql++++=as
equitability ^vb+++??+=equitability
tends ^vbz++++=tends
to ^to+vcmp+++=to
decrease ^vbi++++=decrease
in ^in++++=in
degraded ^jj+atrb+++=degraded
environments ^nns++++=environments.
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
obtained ^vwbn+++xvbn+=obtained
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
therefore ^rb+cnj+++=therefore
support ^vb++++=support
the ^ati++++=the
conclusion ^nn++++=conclusion
that ^tht+ncmp+++=that
the ^ati++++=the
Itingu ^np+++??+=Itingu
u ^zz++++=u
River ^npl++++=River
exhibits ^nns++++=exhibits
good ^jj+atrb+++=good
water ^nn++++=water
quality ^nn++++=quality
in ^in++++=in
the ^ati++++=the
region ^nn++++=region
of ^in++++=of
the ^ati++++=the
Cachoeira ^np+++??+=Cachoeira
do ^vb+do+vrb++=do
Para ^nn++++=Para
so ^cs+sub+++=so
waterfall ^nn++++=waterfall
( ^zz++++=(Silveira,
silveira ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
assessment ^nn++++=assessment
is ^vbz+bez+aux++=is
further ^jjb+pred+++=further
corroborated ^vpsv++by+xvbn+=corroborated
by ^in++++=by
the ^ati++++=the
biological ^jj+atrb+++=biological
indices ^nns++++=indices
calculated ^vwbn+vprv++xvbn+=calculated
( ^zz++++=(CETESB,
cetesb ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019),
