Me ^pp1o+pp1+++=Me,
, ^zz++++=EXTRAWORD
Daddy ^npt++++=Daddy
& ^zz++++=&
Dad ^npt++++=Dad
begins ^vbz++++=begins
with ^in++++=with
an ^at++++=an
illustration ^nn++++=illustration
featuring ^vwbg+++xvbg+=featuring
pieces ^nns++++=pieces
of ^in++++=of
paper ^nn++++=paper
and ^cc++++=and
pencils ^nns++++=pencils
prominently ^rb++++=prominently
placed ^vbd+++xvbn+=placed
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
none ^pn++++=none
of ^in++++=of
the ^ati++++=the
characters ^nns++++=characters
are ^vb+ber+aux++=are
visually ^rb++splt++=visually
depicted ^vpsv++agls+xvbnx+=depicted
in ^in++++=in
this ^dt+dem+++=this
initial ^jj+atrb+++=initial
scene ^nn++++=scene.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
characters ^nns++++=characters
are ^vb+ber+vrb++=are
referenced ^nn+++??+=referenced
both ^abx++++=both
in ^in++++=in
the ^ati++++=the
accompanying ^nn++++=accompanying
written ^vbd+++xvbn+=written
text ^nn++++=text
and ^cc++++=and
in ^in++++=in
images ^nns++++=images
situated ^vwbn+++xvbn+=situated
in ^in++++=in
the ^ati++++=the
background ^nn++++=background.
. ^zz++++=EXTRAWORD
The ^ati++++=The
written ^jj+atrb++xvbn+=written
text ^nn++++=text
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
displayed ^vpsv++agls+xvbnx+=displayed
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
except ^in++++=except
for ^in++++=for
one ^cd1++++=one
line ^nn++++=line
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
positioned ^vpsv++agls+xvbnx+=positioned
on ^in++++=on
the ^ati++++=the
carpet ^nn++++=carpet
and ^cc++++=and
is ^vbz+bez+aux++=is
visually ^rb++splt++=visually
emphasized ^vpsv++by+xvbnx+=emphasized
by ^in++++=by
its ^pp$+it+++=its
central ^jj++++=central
placement ^&fw++++=placement
on ^in++++=on
the ^ati++++=the
page ^nn++++=page.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
following ^jj+atrb++xvbg+=following
page ^nn++++=page,
, ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
main ^jjb+atrb+++=main
characters ^nns++++=characters
are ^vb+ber+aux++=are
introduced ^vpsv++agls+xvbnx+=introduced:
: ^zz++++=EXTRAWORD
Dad ^npt++++=Dad
and ^cc++++=and
Daddy ^npt++++=Daddy
are ^vb+ber+aux++=are
shown ^vpsv++agls+xvbnx+=shown
in ^in++++=in
the ^ati++++=the
background ^nn++++=background,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Emily ^np+++??+=Emily,
, ^zz++++=EXTRAWORD
the ^ati++++=the
protagonist ^nn++++=protagonist,
, ^zz++++=EXTRAWORD
appears ^vbz+seem+++=appears
in ^in++++=in
the ^ati++++=the
left ^jj+atrb++xvbn+=left
foreground ^nn++++=foreground,
, ^zz++++=EXTRAWORD
partially ^rb+down+++=partially
obscured ^vpsv++by+xvbn+=obscured
by ^in++++=by
Max ^np++++=Max,
, ^zz++++=EXTRAWORD
the ^ati++++=the
family ^nn++++=family
dog ^nn++++=dog,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
is ^vbz+bez+aux++=is
seated ^vpsv++agls+xvbnx+=seated
on ^in++++=on
a ^at++++=a
carpet ^nn++++=carpet
that ^tht+rel+subj++=that
serves ^vbz++++=serves
as ^in++++=as
a ^at++++=a
framing ^jj+atrb++xvbg+=framing
device ^nn++++=device.
. ^zz++++=EXTRAWORD
All ^abn++++=All
three ^cd++++=three
characters ^nns++++=characters
are ^vb+ber+aux++=are
depicted ^vpsv++agls+xvbnx+=depicted
wearing ^vbg+++xvbg+=wearing
casual ^jj+atrb+++=casual
attire ^nn++++=attire,
, ^zz++++=EXTRAWORD
including ^in++++=including
jeans ^nns++++=jeans,
, ^zz++++=EXTRAWORD
t ^zz++++=t-shirts,
- ^zz++++=EXTRAWORD
shirts ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shirts ^nns++++=shirts.
. ^zz++++=EXTRAWORD
Dad ^npt++++=Dad
is ^vbz+bez+aux++=is
illustrated ^vpsv++agls+xvbnx+=illustrated
with ^in++++=with
dark ^jj+atrb+++=dark
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
daddy ^npt++++=Daddy
and ^cc++++=and
emily ^np++++=Emily
are ^vb+ber+aux++=are
both ^abx++++=both
depicted ^vpsv++agls+xvbn+=depicted
as ^ql++++=as
blonde ^jj++++=blonde.
. ^zz++++=EXTRAWORD
