Data ^nns++++=Data
are ^vb+ber+aux++=are
presented ^vpsv++agls+xvbnx+=presented
for ^in++++=for
frequency ^nn++++=frequency-domain
- ^zz++++=EXTRAWORD
domain ^nn++++=EXTRAWORD
measures ^nns++++=measures
of ^in++++=of
heart ^nn++++=heart
rate ^nn++++=rate
variability ^nn++++=variability
( ^zz++++=(HRV),
hrv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
including ^in++++=including
low ^jj++++=low-frequency
- ^zz++++=EXTRAWORD
frequency ^nn++++=EXTRAWORD
power ^nn++++=power
( ^zz++++=(LF)
lf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
high ^jj++++=high-frequency
- ^zz++++=EXTRAWORD
frequency ^nn++++=EXTRAWORD
power ^nn++++=power
( ^zz++++=(HF),
hf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
reported ^j+++xvbn+=reported
in ^in++++=in
both ^abx++++=both
ms ^nn++++=ms
and ^cc++++=and
normalized ^nn+++??+=normalized
units ^nns++++=units,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
ratio ^nn++++=ratio
of ^in++++=of
Lf ^np+++??+=LF
to ^in++++=to
Hf ^np+++??+=HF
power ^nn++++=power
( ^zz++++=(LF:HF).
lf:hf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
normalized ^nn+++??+=normalized
spectral ^jj+atrb+++=spectral
indices ^nns++++=indices
are ^vb+ber+aux++=are
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
follows ^vbz+vprv+++=follows:
: ^zz++++=EXTRAWORD
Lf ^np+++??+=LF
normalized ^nn+++??+=normalized
units ^nns++++=units
( ^zz++++=(LFnu)
lfnu ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
= ^zz++++==
Lf ^np+++??+=LF
( ^zz++++=(LF
lf ^nn+++??+=EXTRAWORD
+ ^zz++++=+
Hf ^np+++??+=HF)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Hf ^np+++??+=HF
normalized ^nn+++??+=normalized
units ^nns++++=units
( ^zz++++=(HFnu)
hfnu ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
= ^zz++++==
hf ^np++++=HF
( ^zz++++=(LF
lf ^nn++++=EXTRAWORD
+ ^zz++++=+
hf ^np++++=HF).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
