Given ^vbd+++xvbn+=Given
the ^ati++++=the
developmental ^nn+++??+=developmental
differences ^nns++++=differences
between ^in++++=between
seeds ^nns++++=seeds
and ^cc++++=and
non ^&fw++++=non-seed
- ^zz++++=EXTRAWORD
seed ^nn++++=EXTRAWORD
( ^zz++++=(NS)
ns ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
propagules ^nns+++??+=propagules,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
hypothesize ^vb+++??+=hypothesize
that ^tht+vcmp+obj++=that
these ^dt+dem+++=these
propagules ^nns+++??+=propagules
of ^in++++=of
A ^at++++=A.
. ^zz++++=EXTRAWORD
strobilacea ^nn+++??+=strobilacea
exhibit ^vb++++=exhibit
distinct ^jj+atrb+++=distinct
respiration ^nn++++=respiration
rates ^nns++++=rates
during ^in++++=during
early ^jj+atrb+++=early
plant ^nn++++=plant
development ^nn++++=development.
. ^zz++++=EXTRAWORD
To ^in++++=To
test ^nn++++=test
this ^dt+dem+++=this
hypothesis ^nn++++=hypothesis,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
examined ^vbd+++xvbn+=examined
the ^ati++++=the
morphological ^jj+atrb+++=morphological
development ^nn++++=development
and ^cc++++=and
monitored ^vbd+++xvbn+=monitored
the ^ati++++=the
progression ^nn++++=progression
of ^in++++=of
respiratory ^jj+atrb+++=respiratory
rates ^nns++++=rates
during ^in++++=during
the ^ati++++=the
first ^rb++++=first
35 ^cd++++=35
days ^nns++++=days
of ^in++++=of
in ^in++++=in
vitro ^nn+++??+=vitro
shoot ^vb++++=shoot
formation ^nn++++=formation
from ^in++++=from
both ^abx++++=both
seeds ^nns++++=seeds
and ^cc++++=and
Ns ^np+++??+=NS
by ^in++++=by
measuring ^xvbg+++xvbg+=measuring
Co2 ^np+++??+=CO2
and ^cc++++=and
O2 ^np+++??+=O2
concentrations ^nns++++=concentrations
within ^in++++=within
culture ^nn++++=culture
vessels ^nns++++=vessels.
. ^zz++++=EXTRAWORD
Assessing ^vbg+++xvbg+=Assessing
the ^ati++++=the
temporal ^jj+atrb+++=temporal
changes ^nns++++=changes
in ^in++++=in
respiratory ^jj+atrb+++=respiratory
rates ^nns++++=rates
during ^in++++=during
in ^in++++=in
vitro ^nn+++??+=vitro
plant ^nn++++=plant
formation ^nn++++=formation
also ^rb++++=also
enables ^vbz++++=enables
the ^ati++++=the
detection ^nn++++=detection
of ^in++++=of
differences ^nns++++=differences
in ^in++++=in
photosynthetic ^nn+++??+=photosynthetic
activity ^nn++++=activity
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
types ^nns++++=types
of ^in++++=of
propagules ^nns+++??+=propagules.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
obtained ^vwbn+++xvbn+=obtained
may ^md+pos+++=may
reflect ^vb+vprv+++=reflect
the ^ati++++=the
metabolic ^nn+++??+=metabolic
status ^nn++++=status
of ^in++++=of
plants ^nns++++=plants
derived ^vbd+++xvbn+=derived
from ^in++++=from
seeds ^nns++++=seeds
and ^cc++++=and
Ns ^np+++??+=NS,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
provide ^vb+vsua+++=provide
information ^nn++++=information
on ^in++++=on
the ^ati++++=the
timing ^nn++++=timing
of ^in++++=of
photosynthetic ^nn+++??+=photosynthetic
activity ^nn++++=activity
initiation ^nn++++=initiation,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
an ^at++++=an
increased ^jj+atrb++xvbn+=increased
capacity ^nn++++=capacity
to ^to+ncmp+++=to
withstand ^vbi++++=withstand
acclimatization ^nn+++??+=acclimatization
( ^zz++++=(
ev ^nn+++??+=ev
kov ^nn+++??+=kov
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
may ^md+pos+++=may
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
optimization ^nn+++??+=optimization
of ^in++++=of
germplasm ^nn+++??+=germplasm
conservation ^nn+++??+=conservation
and ^cc++++=and
plant ^nn++++=plant
production ^nn++++=production
protocols ^nns++++=protocols
for ^in++++=for
A ^at++++=A.
. ^zz++++=EXTRAWORD
strobilacea ^nn+++??+=strobilacea,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
also ^rb++++=also
introducing ^vbg+++xvbg+=introducing
a ^at++++=a
novel ^nn++++=novel
approach ^nn++++=approach
for ^in++++=for
the ^ati++++=the
simultaneous ^jj+atrb+++=simultaneous
assessment ^nn++++=assessment
of ^in++++=of
the ^ati++++=the
early ^jj+atrb+++=early
developmental ^nn++++=developmental
dynamics ^nn++++=dynamics
of ^in++++=of
different ^jj+atrb+++=different
explant ^nn++++=explant
types ^nns++++=types
during ^in++++=during
micropropagation ^nn++++=micropropagation.
. ^zz++++=EXTRAWORD
