A ^at++++=A
total ^nn++++=total
of ^in++++=of
70 ^cd++++=70
individuals ^nns++++=individuals
( ^zz++++=(42.7%)
42.7 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
received ^vprf+++xvbnx+=received
at ^in++++=at
least ^ql++++=least
one ^cd1++++=one
dose ^nn++++=dose
of ^in++++=of
a ^at++++=a
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
vaccine ^nn++++=vaccine,
, ^zz++++=EXTRAWORD
with ^in++++=with
50 ^cd++++=50
being ^vbg+beg++xvbg+=being
fully ^rb+amp+++=fully
vaccinated ^jj+++??+=vaccinated
and ^cc++++=and
20 ^cd++++=20
partially ^rb+down+++=partially
vaccinated ^nn+++??+=vaccinated.
. ^zz++++=EXTRAWORD
Nineteen ^cd++++=Nineteen
participants ^nns++++=participants
( ^zz++++=(27.1%)
27.1 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
contracted ^vprf+++xvbnx+=contracted
and ^cc++++=and
fully ^rb+amp+++=fully
recovered ^vbd+++xvbn+=recovered
from ^in++++=from
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
year ^nn++++=year
preceding ^vwbg+++xvbg+=preceding
the ^ati++++=the
event ^nn++++=event,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
none ^rb++++=none
of ^in++++=of
these ^dt+dem+++=these
individuals ^nns++++=individuals
experienced ^vbd+++xvbn+=experienced
reinfection ^nn+++??+=reinfection
as ^ql++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
attending ^nn++++=attending.
. ^zz++++=EXTRAWORD
The ^ati++++=The
majority ^nn++++=majority
of ^in++++=of
participants ^nns++++=participants
( ^zz++++=(92.9%)
92.9 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
not ^xnot++not++=not
using ^vbg+++xvbg+=using
a ^at++++=a
face ^nn++++=face
mask ^nn++++=mask
during ^in++++=during
the ^ati++++=the
event ^nn++++=event.
. ^zz++++=EXTRAWORD
Following ^jj+++xvbg+=Following
the ^ati++++=the
event ^nn++++=event,
, ^zz++++=EXTRAWORD
8 ^zz++++=8
out ^rp+pl+++=out
of ^in++++=of
70 ^cd++++=70
vaccinated ^nn+++??+=vaccinated
adolescents ^nns++++=adolescents
( ^zz++++=(11.4%)
11.4 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
tested ^xvbn+++xvbn+=tested
positive ^jj++++=positive
for ^in++++=for
Covid ^np+++??+=COVID-19;
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
; ^zz++++=EXTRAWORD
among ^in++++=among
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
7 ^zz++++=7
( ^zz++++=(14%)
14 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
fully ^rb+amp+++=fully
vaccinated ^jj+pred++??+=vaccinated
and ^cc++++=and
1 ^zz++++=1
( ^zz++++=(5%)
5 ^zz++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
partially ^rb+down+++=partially
vaccinated ^nn+++??+=vaccinated.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
one ^cd1++++=one
fully ^rb+amp+++=fully
vaccinated ^nn+++??+=vaccinated
individual ^jj+atrb+++=individual
remained ^jj+atrb++xvbn+=remained
asymptomatic ^nn+++??+=asymptomatic.
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
frequently ^rb++++=frequently
reported ^vbn+vpub+tht0+xvbn+=reported
symptoms ^nns++++=symptoms
included ^vbd+++xvbn+=included
runny ^nn+++??+=runny
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
anosmia ^nn+++??+=anosmia,
, ^zz++++=EXTRAWORD
fatigue ^nn++++=fatigue,
, ^zz++++=EXTRAWORD
general ^jj+atrb+++=general
discomfort ^nn++++=discomfort,
, ^zz++++=EXTRAWORD
cough ^nn++++=cough,
, ^zz++++=EXTRAWORD
ageusia ^nn++++=ageusia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
low ^jj++++=low-grade
- ^zz++++=EXTRAWORD
grade ^nn++++=EXTRAWORD
fever ^nn++++=fever.
. ^zz++++=EXTRAWORD
