There ^ex+pex+++=There
are ^vb+ber+vrb++=are
several ^ap++++=several
methods ^nns++++=methods
for ^in++++=for
generating ^xvbg+++xvbg+=generating
an ^at++++=an
overall ^jjb++++=overall
ranking ^xvbg+++xvbg+=ranking
using ^vbg+++xvbg+=using
U ^zz++++=U-Multirank.
- ^zz++++=EXTRAWORD
multirank ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
requested ^vbd+vsua++xvbn+=requested,
, ^zz++++=EXTRAWORD
U ^zz++++=U-Multirank
- ^zz++++=EXTRAWORD
multirank ^nn+++??+=EXTRAWORD
employs ^vbz++++=employs
a ^at++++=a
classification ^nn++++=classification
approach ^nn++++=approach
similar ^jj++++=similar
to ^in++++=to
the ^ati++++=the
Olympic ^jj+atrb+++=Olympic
Medals ^nns++++=Medals
Table ^nn++++=Table,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
institutions ^nns++++=institutions
are ^vb+ber+aux++=are
ranked ^vpsv++agls+xvbnx+=ranked
primarily ^rb+down+++=primarily
by ^in++++=by
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
highest ^jjt+atrb+++=highest
scores ^nns++++=scores
( ^zz++++=(A)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
receive ^vb++++=receive,
, ^zz++++=EXTRAWORD
with ^in++++=with
scores ^nns++++=scores
of ^in++++=of
B ^zz++++=B
and ^cc++++=and
below ^in+pl+++=below
used ^vbd+++xvbn+=used
only ^rb+down+++=only
as ^ql++++=as
tiebreakers ^vbz+++??+=tiebreakers.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
an ^at++++=an
institution ^nn++++=institution
with ^in++++=with
20 ^cd++++=20
A ^at++++=A
scores ^nns++++=scores
and ^cc++++=and
16 ^cd++++=16
E ^zz++++=E
scores ^nns++++=scores
would ^md+prd+++=would
be ^vb+be+aux++=be
ranked ^vpsv++agls+xvbnx+=ranked
higher ^jjr++++=higher
than ^in++++=than
an ^at++++=an
institution ^nn++++=institution
with ^in++++=with
19 ^cd++++=19
A ^at++++=A
scores ^nns++++=scores
and ^cc++++=and
17 ^cd++++=17
B ^zz++++=B
scores ^nns++++=scores.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
ranking ^jj+atrb++xvbg+=ranking
method ^nn++++=method
is ^vbz+bez+vrb++=is
problematic ^nn+++??+=problematic
because ^cs+cos+++=because
it ^pp3+it+++=it
minimizes ^vbz+++??+=minimizes
the ^ati++++=the
distinction ^nn++++=distinction
between ^in++++=between
B ^zz++++=B
and ^cc++++=and
E ^zz++++=E
scores ^nns++++=scores.
. ^zz++++=EXTRAWORD
In ^in++++=In
extreme ^jj+atrb+++=extreme
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
approach ^nn++++=approach
may ^md+pos+++=may
incentivize ^vb+++??+=incentivize
institutions ^nns++++=institutions
to ^to++++=to
concentrate ^vbi++++=concentrate
their ^pp$+pp3+++=their
efforts ^nns++++=efforts
on ^in++++=on
a ^at++++=a
limited ^nn++++=limited
set ^vbd+++xvbn+=set
of ^in++++=of
indicators ^nns++++=indicators
while ^cs+sub+++=while
neglecting ^vbg+++xvbg+=neglecting
others ^aps++++=others,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
leading ^jj+++xvbg+=leading
to ^in++++=to
suboptimal ^nn++++=suboptimal
outcomes ^nns++++=outcomes
for ^in++++=for
students ^nns++++=students
in ^in++++=in
certain ^jj+atrb+++=certain
areas ^nns++++=areas.
. ^zz++++=EXTRAWORD
