Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
teachers ^vb++++=teachers
to ^to+vcmp+++=to
develop ^vbi++++=develop
a ^at++++=a
comprehensive ^jj++++=comprehensive
understanding ^jj+++xvbg+=understanding
of ^in++++=of
issues ^nn++++=issues
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
integration ^nn++++=integration
of ^in++++=of
Ict ^np+++??+=ICT,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
particular ^jj+atrb+++=particular
emphasis ^nn++++=emphasis
on ^in++++=on
pedagogical ^jj++++=pedagogical
and ^cc++++=and
didactic ^nn+++??+=didactic
considerations ^nns++++=considerations.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
knowledge ^nn++++=knowledge
enables ^vbz++++=enables
them ^pp3o+pp3+++=them
to ^in++++=to
critically ^rb++++=critically
select ^jj++++=select
and ^cc++++=and
utilize ^vb++++=utilize
resources ^nns++++=resources
that ^tht+rel+obj++=that
address ^nn++++=address
the ^ati++++=the
diverse ^jj+atrb+++=diverse
needs ^nns++++=needs
of ^in++++=of
contemporary ^jj+atrb+++=contemporary
student ^nn++++=student
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
into ^in++++=into
account ^nn++++=account
the ^ati++++=the
various ^jj+atrb+++=various
learning ^jj+atrb++xvbg+=learning
styles ^nns++++=styles
present ^nn++++=present
among ^in++++=among
students ^nns++++=students
( ^zz++++=(Alonso
alonso ^nn++++=EXTRAWORD
& ^zz++++=&
gallego ^np++++=Gallego,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
