Several ^ap++++=Several
colleagues ^nns++++=colleagues
at ^in++++=at
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
A10 ^np+++??+=A10
took ^vbd+++xvbn+=took
measures ^nns++++=measures
to ^to++++=to
relocate ^vbi++++=relocate
a ^at++++=a
significant ^jj+atrb+++=significant
number ^nn++++=number
of ^in++++=of
individuals ^nns++++=individuals
immediately ^rb+tm+++=immediately
following ^vbg+++xvbg+=following
the ^ati++++=the
2016 ^cd++++=2016
coup ^&fw++++=coup,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
anticipated ^vbd+vprv++xvbnx+=anticipated
that ^tht+vcmp+++=that
these ^dt+dem+++=these
individuals ^nns++++=individuals
would ^md+prd+++=would
face ^vb++++=face
persecution ^nn++++=persecution.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
interview ^nn++++=interview
04 ^nn+++??+=04,
, ^zz++++=EXTRAWORD
many ^ap++++=many
participants ^nns++++=participants
described ^vbd+++xvbn+=described
these ^dt+dem+++=these
actions ^nns++++=actions
as ^ql++++=as
efforts ^nns++++=efforts
to ^to+ncmp+++=to
provide ^vbi+vsua+++=provide
critical ^jj+atrb+++=critical
assistance ^vb++++=assistance
to ^to+vcmp+++=to
those ^dt+pdem+++=those
at ^rb++++=at
risk ^vb++++=risk.
. ^zz++++=EXTRAWORD
