Previous ^jj+atrb+++=Previous
studies ^nns++++=studies
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
that ^tht+vcmp+++=that
adolescents ^nns++++=adolescents
are ^vb+ber+vrb++=are
less ^rbr++++=less
likely ^jj+pred+++=likely
than ^in++++=than
adults ^nns++++=adults
to ^in++++=to
experience ^nn++++=experience
severe ^jj+atrb+++=severe
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
hospitalization ^nn+++??+=hospitalization,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
mortality ^nn++++=mortality
related ^vbd+++xvbn+=related
to ^in++++=to
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
( ^zz++++=(CDC,
cdc ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021;
; ^zz++++=EXTRAWORD
Stein ^np+++??+=Stein,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
research ^nn++++=research
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
adolescents ^nns++++=adolescents
who ^whp+rel+subj++=who
test ^vb++++=test
positive ^jj++++=positive
for ^in++++=for
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
typically ^rb++++=typically
present ^jj++++=present
with ^in++++=with
mild ^jj+atrb+++=mild
respiratory ^jj+atrb+++=respiratory
symptoms ^nns++++=symptoms
such ^abl++++=such
as ^ql++++=as
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
dry ^jj+atrb+++=dry
cough ^nn++++=cough,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fatigue ^nn++++=fatigue,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
may ^md+pos+++=may
remain ^vb++++=remain
asymptomatic ^nn+++??+=asymptomatic
( ^zz++++=(Castagnoli
castagnoli ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
incidence ^nn++++=incidence
of ^in++++=of
multisystem ^nn+++??+=multisystem
inflammatory ^jj+atrb+++=inflammatory
syndrome ^nn++++=syndrome
in ^in++++=in
children ^nns++++=children
( ^zz++++=(MIS-C)
mis ^npt++++=EXTRAWORD
- ^zz++++=EXTRAWORD
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
among ^in++++=among
adolescents ^nns++++=adolescents
is ^vbz+bez+aux++=is
reported ^vpsv++agls+xvbnx+=reported
to ^to+vcmp+++=to
be ^vbi++vrb++=be
less ^rbr++++=less
than ^in++++=than
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
( ^zz++++=(Hoste,
hoste ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Van ^&fw++++=Van
Paemel ^np+++??+=Paemel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Haerynck ^np+++??+=Haerynck,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
approximately ^rb+down+++=approximately
5.1 ^cd++++=5.1%
% ^zz++++=EXTRAWORD
may ^md+pos+++=may
develop ^vb++++=develop
long ^jj+atrb+++=Long
covid ^np++++=COVID
( ^zz++++=(Mellis,
mellis ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
