Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
two ^cd++++=two
attributes ^vbz++++=attributes
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
behavior ^nn++++=behavior
of ^in++++=of
Ha ^uh++++=Ha
have ^vb+hv+vrb++=have
epidemiological ^jj+atrb++??+=epidemiological
significance ^nn++++=significance:
: ^zz++++=EXTRAWORD
adherence ^nn++++=adherence
to ^in++++=to
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing
( ^zz++++=(distancing)
distancing ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
both ^abx++++=both
the ^ati++++=the
effectiveness ^nn++++=effectiveness
and ^cc++++=and
compliance ^nn++++=compliance
with ^in++++=with
mask ^nn++++=mask
use ^nn++++=use
( ^zz++++=(mask).
mask ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
these ^dt+dem+++=these
attributes ^nns++++=attributes
are ^vb+ber+vrb++=are
essential ^nn++++=essential
for ^in++++=for
the ^ati++++=the
epidemiological ^nn+++??+=epidemiological
characterization ^nn++++=characterization
of ^in++++=of
each ^dt++++=each
agent ^nn++++=agent,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
operationalization ^nn+++??+=operationalization
is ^vbz+bez+vrb++=is
detailed ^jj+pred+++=detailed
in ^in++++=in
the ^ati++++=the
interpersonal ^np++++=Interpersonal
contact ^nn++++=Contact
submodel ^nn++++=submodel
( ^zz++++=(Section
section ^nn++++=EXTRAWORD
4.1 ^cd++++=4.1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
