Among ^in++++=Among
the ^ati++++=the
selected ^jj+atrb++xvbn+=selected
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
two ^cd++++=two
included ^vbd+++xvbn+=included
a ^at++++=a
comparison ^nn++++=comparison
group ^nn++++=group.
. ^zz++++=EXTRAWORD
The ^ati++++=The
comparison ^nn++++=comparison
groups ^nns++++=groups
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
an ^at++++=an
immediate ^jj+atrb+++=immediate
intervention ^nn++++=intervention
group ^nn++++=group
and ^cc++++=and
a ^at++++=a
delayed ^jj+atrb++xvbn+=delayed
intervention ^nn++++=intervention
group ^nn++++=group
with ^in++++=with
self ^nn++++=self-directed
- ^zz++++=EXTRAWORD
directed ^vbd+++xvbn+=EXTRAWORD
physical ^jj+atrb+++=physical
activity ^nn++++=activity,
, ^zz++++=EXTRAWORD
as ^in++++=as
described ^nn++++=described
by ^in++++=by
Reference ^nn++++=Reference
37 ^cd++++=37,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
progressive ^jj+atrb+++=progressive
endurance ^nn++++=endurance
training ^nn++++=training
program ^jj+++??+=program
compared ^jj+++xvbn+=compared
to ^in++++=to
a ^at++++=a
supervised ^jj+atrb++xvbn+=supervised
muscle ^nn++++=muscle
relaxation ^nn++++=relaxation
training ^nn++++=training
program ^nn++++=program,
, ^zz++++=EXTRAWORD
as ^in++++=as
described ^nn++++=described
by ^in++++=by
reference ^nn++++=Reference
38 ^cd++++=38.
. ^zz++++=EXTRAWORD
